normal,metaphorical,literal_segments,metaphor_segments,literal_positions,metaphor_positions,num_differences
She had to manage her job and her children at the same time.,She had to juggle her job and her children.,at the same time,juggle,"[(10, 13)]","[(4, 4)]",1
After drinking a couple of martinis he gets so drunk that he becomes sick.,"After three martinis, Abhinav was feeling unwell.",he gets so drunk that he becomes sick,Abhinav was feeling unwell,"[(7, 14)]","[(4, 7)]",1
Every star seemed to shine with new intensity.,Every star seemed to burst with new intensity.,shine with new intensity,burst with new intensity,"[(5, 8)]","[(5, 8)]",1
You will love the new train it is a great ride that it offers.,You will love the new train. it is a heavenly ride.,a great ride that it offers,a heavenly ride,"[(9, 14)]","[(9, 11)]",1
The wind blows through the branches of this huge tree.,The wind floats through the leaves.,blows through the branches of this huge tree,floats through the leaves,"[(3, 10)]","[(3, 6)]",1
Her fear was so terrifying that it was blocking her mind.,Fear clogged her mind.,was so terrifying that it was blocking her mind,clogged her mind,"[(3, 11)]","[(2, 4)]",1
The weeks passed slowly until we could meet again.,The weeks crawled by until we could meet again.,passed slowly until we could meet again,crawled by until we could meet again,"[(3, 9)]","[(3, 9)]",1
"After working two years at the company she got  exhausted, stressed, and drained.",After working two years for the company she was burned out.,"at the company she | got exhausted, stressed, and drained",for the company she | was burned out,"[(5, 8), (9, 13)]","[(5, 8), (9, 11)]",2
The images reflected in the brilliance that covered him warm.,The images basked in the brilliance that covered him warm.,reflected in the brilliance that covered him warm,basked in the brilliance that covered him warm,"[(3, 10)]","[(3, 10)]",1
Make the start for a new health care plan.,Lay the foundation for a new health care plan.,the start,Lay the foundation for a new health care plan,"[(2, 3)]","[(1, 9)]",1
The book caught her imagination.,The book captured her imagination.,caught her imagination,captured her imagination,"[(3, 5)]","[(3, 5)]",1
The President completely denies the allegation or accusation is a blant denial.,The President brushed aside the accusations.,the allegation or accusation is a blant denial,brushed aside the,"[(5, 12)]","[(3, 5)]",1
Smoking cigarettes made him deteriorate his health.,The cigarettes snuffed his health.,made him deteriorate his health,snuffed his health,"[(3, 7)]","[(3, 5)]",1
People think the old man's temper is unsociable and unacceptable.,People think the old man has a sour temper.,man's temper is unsociable and unacceptable,man has a sour temper,"[(5, 10)]","[(5, 9)]",1
To guts the sob of my agony,To scrape the sob of my agony.,guts the sob of my agony,scrape the sob of my agony,"[(2, 7)]","[(2, 7)]",1
The moon gave the stars of the sky an opportunity to shine.,The moon smiled at the stars in the sky.,an opportunity to shine,smiled at the stars,"[(9, 12)]","[(3, 6)]",1
He guided his life by the principles he always wished for .,And his wishes served to  guide  him .,his life by the principles he always wished for,his wishes served to guide him,"[(3, 11)]","[(2, 7)]",1
"But then again, Peleg always has something very philosophical to say about every discussion.",As for Peleg he took it more like a philosopher.,always has something very philosophical to say about every discussion,he took it more like a philosopher,"[(5, 14)]","[(4, 10)]",1
"In Bombay, every person is out to make quick money out of opportunities.","In Bombay, people change dance partners frequently, but not the dance.",every person is out to make quick money out of opportunities,"people change dance partners frequently, but not the dance","[(3, 13)]","[(3, 11)]",1
He called the servant.,He summoned the servant.,called the servant,summoned the servant,"[(2, 4)]","[(2, 4)]",1
Some peaks in demand can be handled by bringing in some expert consultants.,some peaks of demand can be dealt with by external consultants.,in demand can be | handled by bringing in some expert consultants,of demand can be | dealt with by external consultants,"[(3, 6), (7, 13)]","[(3, 6), (7, 11)]",2
He just gave him a ton of work that needs to be done.,He heaped him with work.,that needs to be done,heaped him,"[(9, 13)]","[(2, 3)]",1
He always flashes a smile.,He always wore a smile.,flashes a smile,wore a smile,"[(3, 5)]","[(3, 5)]",1
All my points got rejected by Jianna.,Jianna shot down all of my arguments.,my points got rejected by Jianna,shot down all,"[(2, 7)]","[(2, 4)]",1
Such the spell I made upon you.,"Such the spell I  cast  upon you ,",made upon you,cast upon you,"[(5, 7)]","[(5, 8)]",1
"With all the tax cuts, the economy will surely be improved.",The tax cut will uplift the economy.,surely be improved,cut will,"[(9, 11)]","[(3, 4)]",1
His eyes were glued onto their tracks .,"On their tracks his eyes were  fastened  ,",glued onto their tracks,On their tracks,"[(4, 7)]","[(1, 3)]",1
Which horse are you betting on to win?,Which horse are you backing?,betting on to win,backing,"[(5, 8)]","[(5, 5)]",1
"It seemed from truth alone , the truth we live","It struck from truth alone , the truth we live.",seemed from truth alone,struck from truth alone,"[(2, 5)]","[(2, 5)]",1
He started to slowly regain his sense and strength.,Slowly his sense and strength bloomed.,He started to slowly regain,bloomed,"[(1, 5)]","[(6, 6)]",1
With reserve he thus gave an answer.,With reserve he thus made answer.,gave an answer,made answer,"[(5, 7)]","[(5, 6)]",1
But nature shaped it imperfect ever.,But nature molded it imperfect ever.,shaped it imperfect ever,molded it imperfect ever,"[(3, 6)]","[(3, 6)]",1
The new measurement units definitely shrinked the economy.,The new measures deflated the economy.,measurement units definitely shrinked the economy,measures deflated the economy,"[(3, 8)]","[(3, 6)]",1
The wheat came up from the soil early this year.,The wheat headed early this year.,came up from the soil early this year,headed early this year,"[(3, 10)]","[(3, 6)]",1
Harmless landed the blows he dealt it.,Harmless  fell  the blows he dealt it.,landed the blows he dealt it,fell the blows he dealt it,"[(2, 7)]","[(2, 7)]",1
The novel starts off with a crime.,The novel emerges with a murder.,starts off with a crime,emerges with a murder,"[(3, 7)]","[(3, 6)]",1
The impact of the meteorite creates a cloud of dust in the atmosphere which radiates all sorts of colors.,Meteors blazed across the atmosphere.,the meteorite creates a cloud of dust in the atmosphere,Meteors blazed across the atmosphere,"[(4, 13)]","[(1, 5)]",1
My friend told me the project was very depressing to work on.,My friend said the project was a nightmare.,told me the project was | very depressing to work on,said the project was | a nightmare,"[(3, 7), (8, 12)]","[(3, 6), (7, 8)]",2
For summer and his pleasures begin on thee.,For summer and his pleasures graced on thee.,begin on thee,graced on thee,"[(6, 8)]","[(6, 8)]",1
And in her old bounds ended her despair.,And in her old bounds axed her despair.,ended her despair,axed her despair,"[(6, 8)]","[(6, 8)]",1
The government made the whole law summarized into a code.,The government digested the entire law into a code.,made the whole law summarized into a code,digested the entire law into a code,"[(3, 10)]","[(3, 9)]",1
He ended up bearing the costs for the accident.,He absorbed the costs for the accident.,ended up bearing the costs for the accident,absorbed the costs for the accident,"[(2, 9)]","[(2, 7)]",1
It is amazing how some people can eat a pound of meat in one meal.,Some people can down a pound of meat in the course of one meal.,It is amazing,the course,"[(1, 3)]","[(10, 11)]",1
My personal feelings regarding the situation affected my judgment to deliver a fair decision.,My personal feelings sway my judgment in this case.,to deliver a fair decision,in this case,"[(10, 14)]","[(7, 9)]",1
I don't believe your story.,Am I supposed to swallow that story?,don't believe your story,supposed to swallow that story,"[(2, 5)]","[(3, 7)]",1
I heard a shooting happened and felt sad the victims got attacked.,The attackers launched gunshots at the civilians.,I heard a shooting happened and felt sad the,The attackers launched gunshots at the,"[(1, 9)]","[(1, 6)]",1
Till the day that all the cornfields around us reverberated with laughter.,"Till the cornfields rang with laughter ,",around us reverberated,rang,"[(8, 10)]","[(4, 4)]",1
Though his pace he checked and gradually decreased in intensity.,Though his pace he checked and slackened.,gradually decreased in intensity,slackened,"[(7, 10)]","[(7, 7)]",1
The charges were exaggerated.,The charges were inflated.,exaggerated,inflated,"[(4, 4)]","[(4, 4)]",1
Woke up to the ringtone of my alarm clock.,My alarm yelled at me this morning.,Woke up to the ringtone of my alarm,yelled at me this morning,"[(1, 8)]","[(3, 7)]",1
The animal swings its tail and strike the ground.,The animal shakes its tail in the air like a whip.,swings its tail and strike the ground,shakes its tail in the air like a whip,"[(3, 9)]","[(3, 11)]",1
The professor always includes his political ideas in his lectures.,His political ideas color his lectures.,The professor always includes,color,"[(1, 4)]","[(4, 4)]",1
I didn't burst into rage and did my best to keep quiet by controlling my anger.,I muffled my anger and kept quiet.,didn't burst into rage,muffled my anger,"[(2, 5)]","[(2, 4)]",1
I wanted to withdraw money but the ATM was not working properly.,"I wanted to get money, but the ATM surrendered.",withdraw money | was not working properly,get money | surrendered,"[(4, 5), (9, 12)]","[(4, 5), (9, 9)]",2
She fell into the trap of luxurious life.,She slipped into the luxury of life.,fell into the trap of luxurious life,slipped into the luxury of life,"[(2, 8)]","[(2, 7)]",1
This problem has followed the UK and is now affecting them as well.,this problem has migrated to the uk.,and is now affecting them as well,migrated to the uk,"[(7, 13)]","[(4, 7)]",1
My personal feelings and biases make me form a judgment about this situation.,My personal feelings color my judgment in this case.,and biases make me form a judgment,color my judgment,"[(4, 10)]","[(4, 6)]",1
I was experiencing extreme changes in my feelings.,I was on a rollercoaster of emotions.,experiencing extreme changes in my feelings,on a rollercoaster of emotions,"[(3, 8)]","[(3, 7)]",1
I completely controlled my anger and ended up not shouting.,I restrained my anger and kept quiet.,completely controlled my anger | ended up not shouting,restrained my anger | kept quiet,"[(2, 5), (7, 10)]","[(2, 4), (6, 7)]",2
"Since the day we are born to till the moment we die, our lives' only aim is to fulfill this urge of being happy, even it is difficult.",Our whole life we swim against the waves towards the green light of happiness.,our lives' only aim is to fulfill this urge,Our whole life we,"[(13, 21)]","[(1, 4)]",1
Water leaked out of the can into the backpack.,Water flooded out of the can into the backpack.,leaked out of the can into the backpack,flooded out of the can into the backpack,"[(2, 9)]","[(2, 9)]",1
Provide the best education possible for our children because we are putting money into it.,We streamed money into the education of our children.,are putting money,streamed money,"[(11, 13)]","[(2, 3)]",1
"Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union exemptions from specified duties .","Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .",exemptions from specified duties,immunities,"[(19, 22)]","[(19, 19)]",1
"Speak sincerely , Minnehaha !.","Let your heart  speak  , Minnehaha ! .",Speak sincerely,Let your heart speak,"[(1, 2)]","[(1, 4)]",1
She brought a lot of happiness into my life.,She was the darling of my life.,brought a lot of happiness into my life,was the darling of my life,"[(2, 9)]","[(2, 7)]",1
He bear the costs of this accident.,He shouldered the costs for the accident.,bear the costs of this accident,shouldered the costs for the accident,"[(2, 7)]","[(2, 7)]",1
"Despite many and varied sudden activities in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .","Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .",sudden activities in the first 40 minutes,flurries of activity in the first 40 minutes,"[(5, 11)]","[(5, 12)]",1
Everything down to his glory.,Everything flowed to his glory.,down to his glory,flowed to his glory,"[(2, 5)]","[(2, 5)]",1
Every star seemed to shine with new intensity.,Every star seemed to flare with new intensity.,shine with new intensity,flare with new intensity,"[(5, 8)]","[(5, 8)]",1
Being forced to read a book that you dislike the most is one of the worst things that can happen in life.,There are few things worse than being bludgeoned into reading a book you hate .,dislike the most is one of the worst things,There are few things,"[(9, 17)]","[(1, 4)]",1
The bullet penetrated her chest.,The bullet pierced her chest.,penetrated her chest,pierced her chest,"[(3, 5)]","[(3, 5)]",1
My brain is strudy after the bottle of champagne.,My brain is stable after the bottle of champagne.,strudy after the bottle of champagne,stable after the bottle of champagne,"[(4, 9)]","[(4, 9)]",1
 The stars were shining in the night sky.,The stars sparkle in the night sky.,were shining in the night sky,sparkle in the night sky,"[(3, 8)]","[(3, 7)]",1
She was planting sunflower seeds.,She dawned sunflower seeds.,was planting sunflower seeds,dawned sunflower seeds,"[(2, 5)]","[(2, 4)]",1
I tried to resolve their fight.,I tried to tide things over between them.,resolve their fight,tide things over between them,"[(4, 6)]","[(4, 8)]",1
Let us spend the night together.,"Let us  pass  the night together ,",spend,pass,"[(3, 3)]","[(3, 3)]",1
You help me reminisce or remember fondly the good times that have passed.,You bring back the days departed.,help me reminisce or remember fondly the,bring back the,"[(2, 8)]","[(2, 4)]",1
Ahab was absolutely firm in his intentions but I kept trying to change his mind.,Ahab was a pyramid but I kept kicking at him.,absolutely firm in his intentions | trying to change his mind,a pyramid | kicking at him,"[(3, 7), (11, 15)]","[(3, 4), (8, 10)]",2
"Then my troubled heart is made more cheerful ,","Then my troubled heart is brightened ,",made more cheerful,brightened,"[(6, 8)]","[(6, 6)]",1
Could not make them start an argument.,"Could not  breed  ill-will between them ,",make them start an argument,breed ill-will between them,"[(3, 7)]","[(3, 7)]",1
Overlooking the river is the bridge.,The bridge towers over the river.,is the bridge,towers over the river,"[(4, 6)]","[(3, 6)]",1
He drank three martinis before dinner.,He downed three martinis before dinner.,drank,downed,"[(2, 2)]","[(2, 2)]",1
We have researched hard and then eventually retrieved some interesting facts.,We dug up some interesting facts.,have researched hard and then eventually retrieved some interesting facts,dug up some interesting facts,"[(2, 11)]","[(2, 6)]",1
Made everything on the earth silent.,"Covered  all the earth with silence ,",Made everything on the earth,Covered all the earth,"[(1, 5)]","[(1, 4)]",1
The old woman was kind enough and generous.,The old woman had an open heart.,was kind enough and generous,had an open heart,"[(4, 8)]","[(4, 7)]",1
All fire-flush 'd when forest trees burned.,All fire-flush 'd when forest trees smoldered.,burned,smoldered,"[(7, 7)]","[(7, 7)]",1
A star tops the Christmas tree which stands for the star of Bethlehem.,A star christens the Christmas Tree.,which stands for the star of Bethlehem,christens,"[(7, 13)]","[(3, 3)]",1
She scratched the doorknob with nails.,She clawed the doorknob.,scratched the doorknob with nails,clawed the doorknob,"[(2, 6)]","[(2, 4)]",1
Duryodhan was just a despicable and disgraceful son from the Kuru dynasty.,Duryodhan was the black sheep of the Kuru dynasty.,just a despicable and disgraceful son from the Kuru dynasty,the black sheep of the Kuru dynasty,"[(3, 12)]","[(3, 9)]",1
There was snow on the entire mountain.,The mountain was quilted with snow.,on the,quilted with snow,"[(4, 5)]","[(4, 6)]",1
The fire engulfs the building.,The fire consumed the building.,engulfs the building,consumed the building,"[(3, 5)]","[(3, 5)]",1
During the conflict the first elements of a peace accord appeared.,During the conflict the seeds of peace were planted.,the first elements of a peace accord appeared,the seeds of peace were planted,"[(4, 11)]","[(4, 9)]",1
She sought information from the witnesses.,She pressed the witnesses for information.,sought information from the witnesses,pressed the witnesses for information,"[(2, 6)]","[(2, 6)]",1
My head was resting in the crook of her neck.,My head lay in the crook of her neck.,was resting in the crook of her neck,lay in the crook of her neck,"[(3, 10)]","[(3, 9)]",1
You are wasting my patience,You are spilling my patience.,wasting my patience,spilling my patience,"[(3, 5)]","[(3, 5)]",1
The fruits are preserved in eternity.,The fruits are fossilized in eternity.,preserved in eternity,fossilized in eternity,"[(4, 6)]","[(4, 6)]",1
Till the tree-tops were trembling the laughter.,"Till the tree-tops shook with laughter ,",were trembling the laughter,shook with laughter,"[(4, 7)]","[(4, 7)]",1
My personal feelings influenced my judgment in this case.,My personal feelings shadowed my judgment in this case.,influenced my judgment in this case,shadowed my judgment in this case,"[(4, 9)]","[(4, 9)]",1
This story will hook you up.,This story will grab you.,hook you up,grab you,"[(4, 6)]","[(4, 5)]",1
He was warmly covered in the brilliance that reflected the images.,The images cast in the brilliance that covered him warm.,He was warmly covered in the brilliance that | reflected the images,The images cast in the brilliance that | covered him warm,"[(1, 8), (9, 11)]","[(1, 7), (8, 10)]",2
"He kept on being very miserable, irritated, and angry.",He was in a black mood.,"kept on being very miserable, irritated, and angry",was in a black mood,"[(2, 9)]","[(2, 6)]",1
"Despite spending many years with the company, he was fired.",The company booted him after many years of service.,he was fired,booted him after many years,"[(8, 10)]","[(3, 7)]",1
"Moreover, the storm caused a great deal of distress to the inhabitants of the town.","In addition, the storm bombed the town.",caused a great deal of distress to the,"In addition, the storm","[(4, 11)]","[(1, 4)]",1
My coat is covered with little raindrops that fall together.,The little raindrops diving together stick upon my coat.,is covered with little raindrops,stick upon my coat,"[(3, 7)]","[(6, 9)]",1
We have made you undergo the trial.,"We have put you to the trial ,",made you undergo the trial,put you to the trial,"[(3, 7)]","[(3, 8)]",1
She was totally under the illusion that she was living a romantic adventure.,She was sure she was living this fantasy romance and kept deluding herself.,totally under the illusion that she was living | a romantic adventure,sure she was living | this fantasy romance and kept deluding herself,"[(3, 10), (11, 13)]","[(3, 6), (7, 13)]",2
The new band turned out to be absolutely great.,The new band was absolutely on fire.,turned out to be absolutely great,was absolutely on fire,"[(4, 9)]","[(4, 7)]",1
The causes of progress are in technological development.,The roots of progress are in technological development.,The causes of progress are in technological development,The roots of progress are in technological development,"[(1, 8)]","[(1, 8)]",1
She can feel her bones were chilled due to the cold.,The cold petrifies her bones.,were chilled due to the cold,petrifies her bones,"[(6, 11)]","[(3, 5)]",1
The bus was going very fast.,The bus bolted down the road.,was going very fast,bolted down the road,"[(3, 6)]","[(3, 6)]",1
The small boat could not take the huge waves and sank.,The huge waves smacked the small boat and it sank shortly thereafter.,could not take the huge waves and sank,and it sank shortly thereafter,"[(4, 11)]","[(8, 12)]",1
"Life is just a delusion, something illusory.",Life is just a dream in the night.,"a delusion, something illusory",a dream in the night,"[(4, 7)]","[(4, 8)]",1
The play is going to hurt few people.,The play is going to burn few people.,hurt few people,burn few people,"[(6, 8)]","[(6, 8)]",1
This fact goes against all the standard theories.,This fact warred against the standard theories.,goes against all the standard theories,warred against the standard theories,"[(3, 8)]","[(3, 7)]",1
he summoned the servant.,He buzzed the servant.,summoned the servant,buzzed the servant,"[(2, 4)]","[(2, 4)]",1
I'm definitely gonna get fired if I don't submit the report on time.,The boss will eat me alive if the report arrives late.,I'm definitely gonna get fired if,The boss will eat me alive if the report,"[(1, 6)]","[(1, 9)]",1
It was the moment to forget everything had happened and focus on one's life again.,The moment had arrived for killing the past and coming back to life.,focus on one's life,arrived for killing the,"[(11, 14)]","[(4, 7)]",1
Mark should know that his sarcastic and irritating comments are totally unnecessary to make.,Mark ’s comments are an acid bath for my nerves.,should know that his sarcastic and irritating comments are,an acid bath for my nerves,"[(2, 10)]","[(5, 10)]",1
The light had taken over the dark.,Light had banished  darkness.,taken over the dark,banished darkness,"[(4, 7)]","[(3, 4)]",1
We agreed on the terms of the settlement.,We took on the terms of the settlement.,agreed on the terms of the settlement,took on the terms of the settlement,"[(2, 8)]","[(2, 8)]",1
My eyes have teared up and my face turned red.,My eyes burned up and I could feel my face turning red.,have teared up and my face turned red,burned up and I could feel my face turning red,"[(3, 10)]","[(3, 12)]",1
He burdened him with work.,He heaped him with work.,burdened him with work,heaped him with work,"[(2, 5)]","[(2, 5)]",1
They were really disappointed and thus cried a lot.,Then they cried a sea of tears.,were really disappointed and thus cried a,a sea of tears,"[(2, 8)]","[(4, 7)]",1
"Oscillators never stay on one frequency, they are always searching around to find the right frequency and go up and down.",The oscillator hunts about the correct frequency.,they are always searching around to find the,The oscillator hunts about the correct frequency,"[(7, 14)]","[(1, 7)]",1
This problem doesn't have a solution.,This problem admits of no solution.,doesn't have a solution,admits of no solution,"[(3, 6)]","[(3, 6)]",1
John's performance is rather insignificant in comparison to his classmates.,John fell behind his class mates.,John's performance is rather insignificant in comparison to his,John fell behind his,"[(1, 9)]","[(1, 4)]",1
The tax cut will definitely help the economy.,The tax cut will fertilize the economy.,definitely help the economy,fertilize the economy,"[(5, 8)]","[(5, 7)]",1
The car crushed the toy.,The car smashed the toy.,crushed the toy,smashed the toy,"[(3, 5)]","[(3, 5)]",1
He was so overwhelmed with happiness.,He was so happy he felt his heart was exploding.,overwhelmed with happiness,happy he felt his heart was exploding,"[(4, 6)]","[(4, 10)]",1
I think you have not done your homework.,I fancy you have not done your homework.,think you have not done your homework,fancy you have not done your homework,"[(2, 8)]","[(2, 8)]",1
But ‘ pretending to have an opinion ’ went far beyond the unions .,But ‘ posturing and pretending ’ went far beyond the unions .,pretending to have an opinion,posturing and pretending,"[(3, 7)]","[(3, 5)]",1
The flame of the candle flickered in the darkness surrounding it.,The candle flame shivered in the dark.,the darkness surrounding it,shivered,"[(8, 11)]","[(4, 4)]",1
The candidate slammed into his opponent mercilessly.,The candidate torpedoed into his opponent mercilessly.,slammed into his opponent mercilessly,torpedoed into his opponent mercilessly,"[(3, 7)]","[(3, 7)]",1
She never put down his novels once she started reading them.,She devoured his novels.,never put down his novels,devoured his novels,"[(2, 6)]","[(2, 4)]",1
Her passion is flowing through the air.,Her passion is dancing through the air.,flowing through the air,dancing through the air,"[(4, 7)]","[(4, 7)]",1
They were provoking excitement.,They were stirring excitement.,provoking excitement,stirring excitement,"[(3, 4)]","[(3, 4)]",1
"After the champagne bottle, my brain is buzzing.",My brain is glowing after the bottle of champagne.,After the champagne bottle,glowing after the bottle of champagne,"[(1, 4)]","[(4, 9)]",1
I feel the book really captured her attention.,The book owned her imagination.,really captured her,owned her,"[(5, 7)]","[(3, 4)]",1
The government converted the entire law into a code.,The government photosynthesized the entire law into a code.,converted the entire law into a code,photosynthesized the entire law into a code,"[(3, 9)]","[(3, 9)]",1
Now this fool showed up with his confused mind.,Here comes the fool with his foggy brain.,Now this fool,Here comes the fool,"[(1, 3)]","[(1, 4)]",1
"Now you discover that we are strongest ,","Now you  find  that we are strongest ,",discover that we are strongest,find that we are strongest,"[(3, 7)]","[(3, 7)]",1
She came up with a good excuse for not attending classes that day .,She designed a good excuse for not attending classes that day.,came up,designed,"[(2, 3)]","[(2, 2)]",1
Please retain all of my words.,Don't metamorphose my words.,Please retain all of my words,Don't metamorphose my words,"[(1, 6)]","[(1, 4)]",1
David is a despicable person for what he did to Shelia.,David is a worm for what he did to Shelia.,a despicable person for what he did to Shelia,a worm for what he did to Shelia,"[(3, 11)]","[(3, 10)]",1
He said that the leaders will have to deal with a lot of resentment.,He said the leaders will have to deal with an ocean of resentment.,a lot,an ocean,"[(11, 12)]","[(10, 11)]",1
The girl said something interrupting the conversation.,The girl broke into the conversation.,said something interrupting the conversation,broke into the conversation,"[(3, 7)]","[(3, 6)]",1
The voice at the other end was plainly over-excited and it took him a minute to separate into discrete units what he was being told .,The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .,separate into discrete units what he was being told,disentangle what he was being told,"[(17, 25)]","[(17, 22)]",1
He was basically the epitome of the knowledge of his tribe.,He carried the knowledge or beliefs of his tribe.,was basically the epitome of the knowledge of his tribe,carried the knowledge or beliefs of his tribe,"[(2, 11)]","[(2, 9)]",1
Her passion is flowing through the air.,Her passion is streaming through the air.,flowing through the air,streaming through the air,"[(4, 7)]","[(4, 7)]",1
Managed to get to the top of the mountain with great difficulty.,They clawed their way to the top of the mountain.,with great difficulty,They clawed their way,"[(10, 12)]","[(1, 4)]",1
His body was horribly disfigured by the bacteria known as leprosy.,His body was twisted by leprosy.,horribly disfigured by the bacteria known as leprosy,twisted by leprosy,"[(4, 11)]","[(4, 6)]",1
"After a glass of wine, he relaxed up a bit.","After a glass of wine, he loosened up a bit.",relaxed up a bit,loosened up a bit,"[(7, 10)]","[(7, 10)]",1
Her face was not visible and she didn't give any answer.,"Hid her face , but  made  no answer .",was not visible and she didn't give any answer,but made no answer,"[(3, 11)]","[(5, 8)]",1
The faculty meeting was very easy and relaxing.,The faculty meeting was an easy breeze.,very easy and relaxing,an easy breeze,"[(5, 8)]","[(5, 7)]",1
He always had a strong interest in learning and expanding his knowledge.,He always had an interest for the fruit of knowledge.,a strong interest in learning and expanding his knowledge,an interest for the fruit of knowledge,"[(4, 12)]","[(4, 10)]",1
The darted harpoon was so fast that it looked shiny in the sea.,The darted harpoon was lightning in the sea.,so fast that it looked shiny in the sea,lightning in the sea,"[(5, 13)]","[(5, 8)]",1
His voice was too loud and echos up the house.,His voice beamed up the house.,was too loud and echos up the house,beamed up the house,"[(3, 10)]","[(3, 6)]",1
Jonathan was overwhelmed with sadness.,Jonathan drowned in a sea of grief.,was overwhelmed with sadness,drowned in a sea of grief,"[(2, 5)]","[(2, 7)]",1
His laughter is contagious for everyone who is in the same room.,His laughter infects everyone who is in the same room.,is contagious for everyone who is in the same room,infects everyone who is in the same room,"[(3, 12)]","[(3, 10)]",1
Surrounded by darkness like a garment.,Robed  with darkness as a garment .,Surrounded by darkness,Robed with darkness,"[(1, 3)]","[(1, 3)]",1
The crocodile has yellow pointed teeth.,The crocodile's teeth are yellow daggers.,The crocodile has yellow pointed teeth,The crocodile's teeth are yellow daggers,"[(1, 6)]","[(1, 6)]",1
we laid in the field of green grass and relaxed.,we laid in fields of gold.,the field of green grass and relaxed,fields of gold,"[(4, 10)]","[(4, 6)]",1
The straight pathway that went between two trees.,"Straight between them  ran  the pathway ,",that went,them ran the pathway,"[(4, 5)]","[(3, 6)]",1
We came to the mutual understanding to settle the deal and declare it as a peaceful agreement.,We made a truce on the terms of the settlement.,the deal and declare it as a,a truce on the,"[(9, 15)]","[(3, 6)]",1
I think Teddy would try to get what he wants no matter what.,Teddy was like a bulldog — he would get what he wanted.,I think Teddy would try to get what he | wants no matter what,Teddy was like a bulldog — he would get what he | wanted,"[(1, 9), (10, 13)]","[(1, 11), (12, 12)]",2
Her interest in butterflies engages her completely .,Her interest in butterflies absorbs her completely.,engages her completely,absorbs her completely,"[(5, 8)]","[(5, 7)]",1
But their work is blocked by the fact that they don't have enough money.,But their work is hindered by lack of money .,the fact that they don't have enough money,lack of money,"[(7, 14)]","[(7, 9)]",1
Her face flushed because she just took a sauna bath.,Her face glowed when she came out of the sauna.,flushed because she just took a sauna bath,glowed when she came out of the sauna,"[(3, 10)]","[(3, 10)]",1
For summer and his pleasures begin on thee.,For summer and his pleasures take flight on thee.,begin on thee,take flight on thee,"[(6, 8)]","[(6, 9)]",1
The politician defeated his rival.,The politician chopped down his rival.,defeated his rival,chopped down his rival,"[(3, 5)]","[(3, 6)]",1
The entire memory of this event is engraved forever in her mind.,The event carved  itself into her memory.,is engraved forever in her,carved itself into her memory,"[(7, 11)]","[(3, 7)]",1
Began the evening 's dusk and coolness.,"Fell  the evening 's dusk and coolness ,",Began,Fell,"[(1, 1)]","[(1, 1)]",1
"‘ I think she 'd do better to understand herself , ' Ellen said in a harsh sarcastic tone.","‘ I think she 'd do better to understand herself , ’ Ellen said tartly .",in a harsh sarcastic tone,tartly,"[(15, 19)]","[(15, 16)]",1
The steering of my new car is sensitive to the slightest touch.,The steering of my new car answers to the slightest touch.,is sensitive to the slightest touch,answers to the slightest touch,"[(7, 12)]","[(7, 11)]",1
Seems to be awake and very alert could of got up.,Seems to be wide awake could of got up.,awake and very alert could of got up,wide awake could of got up,"[(4, 11)]","[(4, 9)]",1
The latest intelligence is communicated quickly to all command posts.,The latest intelligence is flashed to all command posts.,communicated quickly to all command posts,flashed to all command posts,"[(5, 10)]","[(5, 9)]",1
Occupy the fiery brains of young men ?,Fill  the fiery brains of young men ?,Occupy the fiery brains,Fill the fiery brains,"[(1, 4)]","[(1, 4)]",1
"Since finances are restricted by economics, how can we become part of global economy?",How can we build a ’Global economy’ if finance is handcuffed?,Since finances are restricted by economics,build a ’Global economy’ if finance is handcuffed,"[(1, 6)]","[(4, 11)]",1
The gun sprang back into my shoulder.,The gun kicked back into my shoulder.,sprang back into my shoulder,kicked back into my shoulder,"[(3, 7)]","[(3, 7)]",1
Their language is written in such a way that it makes you believe them.,Their language broadcasts us to believe them.,is written in such a way that it makes you believe them,broadcasts us to believe them,"[(3, 14)]","[(3, 7)]",1
Her joy was overwhelming and intense.,Her joy was blinding.,overwhelming and intense,blinding,"[(4, 6)]","[(4, 4)]",1
Which horse are you betting on for the race?,Which horse are you wagering on.,betting on for the race,wagering on,"[(5, 9)]","[(5, 6)]",1
The mother pays close attention to in every word of her son on the stage.,The mother drinks in every word of her son on the stage.,pays close attention to in every word of her son on the stage,drinks in every word of her son on the stage,"[(3, 15)]","[(3, 12)]",1
Four of the absentees suffered the continuous discomfort of being among the Welsh squad .,Four of the absentees suffered the squirming discomfort of being among the Welsh squad .,the continuous discomfort of being among the Welsh squad,the squirming discomfort of being among the Welsh squad,"[(6, 14)]","[(6, 14)]",1
"they were speaking while the night was just departing,","While they spake , the night  departed  :.",were speaking,spake,"[(2, 3)]","[(3, 3)]",1
She never stops talking so it is pretty difficult to understand what she says.,She babbles a lot of nonsense.,never stops talking so it is pretty difficult to understand what she,babbles a lot of nonsense,"[(2, 13)]","[(2, 6)]",1
