normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
"I'm feeling really tired today, I might just stay home and relax.","I'm hella drained today, might just vibe at home and chill.",feeling really tired | I | stay | relax.,hella drained | vibe at | chill.,"[(1, 4), (5, 6), (8, 9), (11, 12)]","[(1, 3), (4, 4), (6, 8), (10, 11)]",4
"I'm really tired today, I think I need to rest.","I'm mad drained today, I gotta catch some Z's.",really tired | think I need to rest.,mad drained | gotta catch some Z's.,"[(1, 3), (5, 10)]","[(1, 3), (5, 9)]",2
"Hey, do you want to hang out later today?","Yo, you tryna vibe later?","Hey, do | want to hang out later today?","Yo, | tryna vibe later?","[(0, 2), (3, 9)]","[(0, 1), (2, 5)]",2
I'm going to the store to grab some snacks.,I'm heading to the store to snag some munchies.,going | grab | snacks.,heading | snag | munchies.,"[(1, 2), (6, 7), (8, 9)]","[(1, 2), (6, 7), (8, 9)]",3
"Hey, do you want to catch a movie tonight?","Yo, wanna flex and hit up a flick tonight?","Hey, do you want to catch | movie","Yo, wanna flex and hit up | flick","[(0, 6), (7, 8)]","[(0, 6), (7, 8)]",2
I'm really excited about hanging out with my friends tomorrow.,"Yo, I’m super hyped to chill with my crew tomorrow!",I'm really excited about hanging out | friends tomorrow.,"Yo, I’m super hyped to chill | crew tomorrow!","[(0, 6), (8, 10)]","[(0, 6), (8, 10)]",2
"Hey, did you see how cool that new movie was?","Yo, that new film was such a vibe, did you catch it?","Hey, | see how cool that new movie was?","Yo, that new film was such a vibe, | catch it?","[(0, 1), (3, 10)]","[(0, 8), (10, 12)]",2
I'm going to grab some coffee before I head to work.,I'm about to snag some coffee before I dip to work.,going | grab | head,about | snag | dip,"[(1, 2), (3, 4), (8, 9)]","[(1, 2), (3, 4), (8, 9)]",3
"Hey, did you finish your homework yet?","Yo, did you wrap up your homework yet?","Hey, | finish","Yo, | wrap up","[(0, 1), (3, 4)]","[(0, 1), (3, 5)]",2
I'm just trying to relax after a long day at work.,I'm just vibing and chilling after a long grind.,trying to relax | day at work.,vibing and chilling | grind.,"[(2, 5), (8, 11)]","[(2, 5), (8, 9)]",2
"I'm really tired today, I think I'll stay home and relax.","I'm mad drained today, gonna chill at home and vibe.",really tired | I think I'll stay | relax.,mad drained | gonna chill at | vibe.,"[(1, 3), (4, 8), (10, 11)]","[(1, 3), (4, 7), (9, 10)]",3
I'm just really tired today and feel like staying in bed all day.,I'm死ass drained today and just wanna stay in bed all day lol,I'm just really tired | feel like staying | day.,I'm死ass drained | just wanna stay | day lol,"[(0, 4), (6, 9), (12, 13)]","[(0, 2), (4, 7), (10, 12)]",3
"I'm really tired today, but I still have to go to work.","I'm mad drained today, but I still gotta clock in.",really tired | have to go to work.,mad drained | gotta clock in.,"[(1, 3), (7, 12)]","[(1, 3), (7, 10)]",2
"Hey, I just got back from the store and I’m super tired.","Yo, I just dipped from the store and I’m totally wiped, fr.","Hey, | got back | super tired.","Yo, | dipped | totally wiped, fr.","[(0, 1), (3, 5), (10, 12)]","[(0, 1), (3, 4), (9, 12)]",3
I'm really tired today because I woke up early.,I'm deadass exhausted today 'cause I woke up mad early.,really tired | because,deadass exhausted | 'cause | mad,"[(1, 3), (4, 5), (8, 8)]","[(1, 3), (4, 5), (8, 9)]",2
I'm just relaxing at home and watching my favorite show.,"Just chillin' at home, binge-watching my fave show, fr.",I'm just relaxing | home and watching | favorite show.,"Just chillin' | home, binge-watching | fave show, fr.","[(0, 3), (4, 7), (8, 10)]","[(0, 2), (3, 5), (6, 9)]",3
"Hey, I forgot my phone at home today.","Yo, I left my phone at home today, fr.","Hey, | forgot | today.","Yo, | left | today, fr.","[(0, 1), (2, 3), (7, 8)]","[(0, 1), (2, 3), (7, 9)]",3
I just finished my homework and I'm really glad it's over.,"Yo, I just wrapped up my homework and I'm so relieved it's done.",finished | really glad | over.,"Yo, | wrapped up | so relieved | done.","[(0, 0), (2, 3), (7, 9), (10, 11)]","[(0, 1), (3, 5), (9, 11), (12, 13)]",3
"I'm really tired today, so I think I'll just relax and watch some movies.","I'm totally drained today, so I just wanna chill and binge-watch some flicks.",really tired | think I'll | relax | watch | movies.,totally drained | wanna chill | binge-watch | flicks.,"[(1, 3), (6, 8), (9, 10), (11, 12), (13, 14)]","[(1, 3), (6, 6), (7, 9), (10, 11), (12, 13)]",5
I'm just going to chill at home all day.,I'm just gonna vibe at home all day. 🤙,going to chill,gonna vibe | 🤙,"[(2, 5), (9, 9)]","[(2, 4), (8, 9)]",1
"Hey, do you want to grab coffee after work?","Yo, wanna hit up some coffee after work?","Hey, do you want to grab","Yo, wanna hit up some","[(0, 6)]","[(0, 5)]",1
"Hey, I found a really cool new cafe downtown.","Yo, just dived into this sick new spot downtown, it's fire!","Hey, I found a really cool | cafe downtown.","Yo, just dived into this sick | spot downtown, it's fire!","[(0, 6), (7, 9)]","[(0, 6), (7, 11)]",2
"Hey, have you seen my phone? I can't find it anywhere.","Yo, have you peeped my phone? It's ghosting me, can't find it anywhere lol.","Hey, | seen | I | anywhere.","Yo, | peeped | It's ghosting me, | anywhere lol.","[(0, 1), (3, 4), (6, 7), (10, 11)]","[(0, 1), (3, 4), (6, 9), (12, 14)]",4
I'm just hanging out with friends at the park.,I'm just vibing with my friends at the park.,hanging out,vibing | my,"[(2, 4), (5, 5)]","[(2, 3), (4, 5)]",1
"Hey, do you want to go watch a movie tonight?","Yo, you tryna vibe and catch a flick tonight?","Hey, do | want to go watch | movie","Yo, | tryna vibe and catch | flick","[(0, 2), (3, 7), (8, 9)]","[(0, 1), (2, 6), (7, 8)]",3
"Hey, did you see the new poster in the hallway?","Yo, peep the fresh poster in the hall, did ya spot it?","Hey, did you see | new | hallway?","Yo, peep | fresh | hall, did ya spot it?","[(0, 4), (5, 6), (9, 10)]","[(0, 2), (3, 4), (7, 12)]",3
I'm really tired after the long day at school.,I'm absolutely drained after that long school grind.,really tired | the | day at school.,absolutely drained | that | school grind.,"[(1, 3), (4, 5), (6, 9)]","[(1, 3), (4, 5), (6, 8)]",3
"Hey, did you see the new episode of the show last night?","Yo, did you peep the new ep of the show last night?","Hey, | see | episode","Yo, | peep | ep","[(0, 1), (3, 4), (6, 7)]","[(0, 1), (3, 4), (6, 7)]",3
"Hey, do you want to go get some coffee later?","Yo, wanna hit up some coffee later?","Hey, do you want to go get","Yo, wanna hit up","[(0, 7)]","[(0, 4)]",1
"Hey, I thought I might grab a snack before heading out.","Yo, I’m litty and might snag a snack before bouncing.","Hey, I thought I | grab | heading out.","Yo, I’m litty and | snag | bouncing.","[(0, 4), (5, 6), (9, 11)]","[(0, 4), (5, 6), (9, 10)]",3
I'm just going to grab some coffee before heading to school.,I'm just gon' snag some coffee before bouncing to class.,going to grab | heading | school.,gon' snag | bouncing | class.,"[(2, 5), (8, 9), (10, 11)]","[(2, 4), (7, 8), (9, 10)]",3
I'm just trying to finish my homework before I go out with my friends.,I'm just tryna wrap up my homework before I dip with my squad.,trying to finish | go out | friends.,tryna wrap up | dip | squad.,"[(2, 5), (9, 11), (13, 14)]","[(2, 5), (9, 10), (12, 13)]",3
I'm really tired today and don't want to go to the party.,I'm hella drained today and totally vibing solo — not tryna hit the party.,really tired | don't want to go to,hella drained | totally vibing solo — not tryna hit,"[(1, 3), (5, 10)]","[(1, 3), (5, 12)]",2
I'm going shopping at the mall this afternoon.,"I'm hitting the mall later, fr fr.",going shopping at | this afternoon.,"hitting | later, fr fr.","[(1, 4), (6, 8)]","[(1, 2), (4, 7)]",2
I'm tired because I stayed up late last night.,I'm drained 'cause I pulled an all-nighter yesterday.,tired because | stayed up late last night.,drained 'cause | pulled an all-nighter yesterday.,"[(1, 3), (4, 9)]","[(1, 3), (4, 8)]",2
How are you feeling today?,"Yo, how you vibin' today?",How are | feeling,"Yo, how | vibin'","[(0, 2), (3, 4)]","[(0, 2), (3, 4)]",2
"Hey, I’m really tired today because I didn’t sleep well last night.","Yo, I’m so dead today 'cause I didn’t catch enough Z’s last night.","Hey, | really tired | because | sleep well","Yo, | so dead | 'cause | catch enough Z’s","[(0, 1), (2, 4), (5, 6), (8, 10)]","[(0, 1), (2, 4), (5, 6), (8, 11)]",4
I'm just gonna grab some coffee before heading to class.,"I'm just finna snag some coffee before bouncing to class, no cap.",gonna grab | heading | class.,"finna snag | bouncing | class, no cap.","[(2, 4), (7, 8), (9, 10)]","[(2, 4), (7, 8), (9, 12)]",3
I think we should grab some coffee later.,"Yo, we should peep some coffee later, fr fr.",I think | grab | later.,"Yo, | peep | later, fr fr.","[(0, 2), (4, 5), (7, 8)]","[(0, 1), (3, 4), (6, 9)]",3
I'm just chilling at home watching my favorite show.,"I'm just vibing at home, binge-watching my fave's drip.",chilling | home watching | favorite show.,"vibing | home, binge-watching | fave's drip.","[(2, 3), (4, 6), (7, 9)]","[(2, 3), (4, 6), (7, 9)]",3
"Hey, did you see the new movie that came out last night?","Yo, did ya catch the new flick that dropped last night?","Hey, | you see | movie | came out","Yo, | ya catch | flick | dropped","[(0, 1), (2, 4), (6, 7), (8, 10)]","[(0, 1), (2, 4), (6, 7), (8, 9)]",4
I'm just relaxing at home and watching some YouTube videos.,"Chillin' at home, vibing with some YouTube stuff.",I'm just relaxing | home and watching | videos.,"Chillin' | home, vibing with | stuff.","[(0, 3), (4, 7), (9, 10)]","[(0, 1), (2, 5), (7, 8)]",3
I'm feeling really tired after such a long day.,"I'm deadass drained after this whole day, no cap.",feeling really tired | such a long day.,"deadass drained | this whole day, no cap.","[(1, 4), (5, 9)]","[(1, 3), (4, 9)]",2
"Hey, I just got back from shopping and found some really cool shoes.","Yo, just hit the mall and scored some sick kicks!","Hey, I | got back from shopping | found | really cool shoes.","Yo, | hit the mall | scored | sick kicks!","[(0, 2), (3, 7), (8, 9), (10, 13)]","[(0, 1), (2, 5), (6, 7), (8, 10)]",4
"Hey, have you seen the new movie that just came out?","Yo, have you peeped the new flick that just dropped?","Hey, | seen | movie | came out?","Yo, | peeped | flick | dropped?","[(0, 1), (3, 4), (6, 7), (9, 11)]","[(0, 1), (3, 4), (6, 7), (9, 10)]",4
"I really like your new backpack, it looks great!","Your new backpack's totally vibing, looks sick!","I really like your | backpack, it | great!","Your | backpack's totally vibing, | sick!","[(0, 4), (5, 7), (8, 9)]","[(0, 1), (2, 5), (6, 7)]",3
I'm really tired after my long day at work.,I'm hella drained after grindin' all day at work.,really tired | my long,hella drained | grindin' all,"[(1, 3), (4, 6)]","[(1, 3), (4, 6)]",2
I can't believe how quickly the pizza was delivered!,"No cap, the pizza got here lightning fast!",I can't believe how quickly | was delivered!,"No cap, | got here lightning fast!","[(0, 5), (7, 9)]","[(0, 2), (4, 8)]",2
I'm really tired today after a long day at work.,I'm mad drained after a looong day at the 9 to 5.,really tired today | long | work.,mad drained | looong | the 9 to 5.,"[(1, 4), (6, 7), (9, 10)]","[(1, 3), (5, 6), (8, 12)]",3
I'm just finishing up my homework before going out with friends.,Just wrapping up my homework before vibing with the squad.,I'm just finishing | going out | friends.,Just wrapping | vibing | the squad.,"[(0, 3), (7, 9), (10, 11)]","[(0, 2), (6, 7), (8, 10)]",3
I'm just really tired today and don't want to do anything.,I'm super drained today and can't be bothered to do anything lol.,just really tired | don't want | anything.,super drained | can't be bothered | anything lol.,"[(1, 4), (6, 8), (10, 11)]","[(1, 3), (5, 8), (10, 12)]",3
I'm feeling really tired today after working all day.,"I'm worn out after grinding all day, fr fr.",feeling really tired today | working | day.,"worn out | grinding | day, fr fr.","[(1, 5), (6, 7), (8, 9)]","[(1, 3), (4, 5), (6, 9)]",3
"Hey, can you help me move this weekend?","Yo, can you give me a hand with moving this weekend? It's gonna be a whole vibe!","Hey, | help | move","Yo, | give | a hand with moving | It's gonna be a whole vibe!","[(0, 1), (3, 4), (5, 6), (8, 8)]","[(0, 1), (3, 4), (5, 9), (11, 17)]",3
"Hey, can you help me with my homework?","Yo, can you peep my homework real quick?","Hey, | help me with | homework?","Yo, | peep | homework real quick?","[(0, 1), (3, 6), (7, 8)]","[(0, 1), (3, 4), (5, 8)]",3
I'm going shopping for groceries later.,Gonna hit the store for some snacks later fam.,I'm going shopping | groceries later.,Gonna hit the store | some snacks later fam.,"[(0, 3), (4, 6)]","[(0, 4), (5, 9)]",2
I'm so tired after school today.,"I'm mad drained after school today, no cap.",so tired | today.,"mad drained | today, no cap.","[(1, 3), (5, 6)]","[(1, 3), (5, 8)]",2
I'm thinking about grabbing a coffee before heading to class.,"Yo, I'm vibing with the idea of snagging a coffee before I head to class, fr.",thinking about grabbing | heading | class.,"Yo, | vibing with the idea of snagging | I head | class, fr.","[(0, 0), (1, 4), (7, 8), (9, 10)]","[(0, 1), (2, 8), (11, 13), (14, 16)]",3
I'm really tired today because I stayed up way too late last night.,"I'm totally drained today ’cause I was up all night yesterday, no cap.",really tired | because | stayed | way too late last night.,"totally drained | ’cause | was | all night yesterday, no cap.","[(1, 3), (4, 5), (6, 7), (8, 13)]","[(1, 3), (4, 5), (6, 7), (8, 13)]",4
"I'm really tired today, I just want to relax and watch some movies.","I'm suuuper exhausted today, just tryna chill and binge some movies, fr fr.",really tired | I | want to relax | watch | movies.,"suuuper exhausted | tryna chill | binge | movies, fr fr.","[(1, 3), (4, 5), (6, 9), (10, 11), (12, 13)]","[(1, 3), (4, 4), (5, 7), (8, 9), (10, 13)]",5
"Hey, I just finished my homework and I'm so relieved.","Yo, I just knocked out my homework and I'm so chill now.","Hey, | finished | relieved.","Yo, | knocked out | chill now.","[(0, 1), (3, 4), (9, 10)]","[(0, 1), (3, 5), (10, 12)]",3
I'm really exhausted after studying all day.,"I'm totally drained after grinding all day, fr.",really exhausted | studying | day.,"totally drained | grinding | day, fr.","[(1, 3), (4, 5), (6, 7)]","[(1, 3), (4, 5), (6, 8)]",3
I'm just chilling at home and listening to some music.,"I'm vibing at home, spinning some tunes. LOL",just chilling | home and listening to | music.,"vibing | home, spinning | tunes. LOL","[(1, 3), (4, 8), (9, 10)]","[(1, 2), (3, 5), (6, 8)]",3
I'm just really tired today and feeling pretty unmotivated.,I'm super drained today and totally lowkey not feeling it.,just really tired | pretty unmotivated.,super drained | totally lowkey not | it.,"[(1, 4), (6, 6), (7, 9)]","[(1, 3), (5, 8), (9, 10)]",2
I'm so tired today because I stayed up late studying.,I'm mad drained today 'cause I pulled an all-nighter with my cram sesh.,so tired | because | stayed up late studying.,mad drained | 'cause | pulled an all-nighter with my cram sesh.,"[(1, 3), (4, 5), (6, 10)]","[(1, 3), (4, 5), (6, 13)]",3
"I really like this new song, it’s so good!","This new jam is fire, I’m obsessed!","I really like this | song, it’s so good!","This | jam is fire, I’m obsessed!","[(0, 4), (5, 9)]","[(0, 1), (2, 7)]",2
"Hey, do you want to grab lunch together?","Yo, wanna hit up lunch together?","Hey, do you want to grab","Yo, wanna hit up","[(0, 6)]","[(0, 4)]",1
I just finished my homework and I feel pretty tired.,"Just wrapped up my homework, and I’m totally drained, no cap.",I just finished | homework | I feel pretty tired.,"Just wrapped up | homework, | I’m totally drained, no cap.","[(0, 3), (4, 5), (6, 10)]","[(0, 3), (4, 5), (6, 11)]",3
I'm just going to relax and watch some shows today.,"I'm just gonna chill and binge some shows today, no cap.",going to relax | watch | today.,"gonna chill | binge | today, no cap.","[(2, 5), (6, 7), (9, 10)]","[(2, 4), (5, 6), (8, 11)]",3
I'm feeling really tired today because I didn't sleep well last night.,I'm hella drained today 'cause I was up all night grindin' without rest.,feeling really tired | because | didn't sleep well last night.,hella drained | 'cause | was up all night grindin' without rest.,"[(1, 4), (5, 6), (7, 12)]","[(1, 3), (4, 5), (6, 13)]",3
"I'm really tired after working all day, so I just want to relax now.","I'm super drained after grinding all day, just tryna chill now.",really tired | working | so I | want to relax,super drained | grinding | tryna chill,"[(1, 3), (4, 5), (7, 9), (10, 13)]","[(1, 3), (4, 5), (7, 7), (8, 10)]",4
"Hey, do you want to hang out later and watch a movie?","Yo, wanna chill later and catch a flick?","Hey, do you want to hang out | watch | movie?","Yo, wanna chill | catch | flick?","[(0, 7), (9, 10), (11, 12)]","[(0, 3), (5, 6), (7, 8)]",3
"Hey, I'm really tired today and just want to relax at home.","Yo, I'm dead tired today, just tryna chill at home and veg out.","Hey, | really | today | just want to relax at home.","Yo, | dead | today, just tryna chill at home | veg out.","[(0, 1), (2, 3), (4, 5), (6, 12)]","[(0, 1), (2, 3), (4, 10), (11, 13)]",4
I'm going to the grocery store to buy some snacks.,"I'm_heading to the store to snag some snacks, fr fr.",I'm going | grocery | buy | snacks.,"I'm_heading | snag | snacks, fr fr.","[(0, 2), (4, 5), (7, 8), (9, 10)]","[(0, 1), (3, 3), (5, 6), (7, 10)]",4
I'm just casually hanging out with my friends at the park.,"Just vibing with my squad at the park, no cap.",I'm just casually hanging out | friends | park.,"Just vibing | squad | park, no cap.","[(0, 5), (7, 8), (10, 11)]","[(0, 2), (4, 5), (7, 10)]",3
"I'm really tired today, I think I need some sleep.","I'm mad drained today, lowkey need a nap ASAP.",really tired | I think I | some sleep.,mad drained | lowkey | a nap ASAP.,"[(1, 3), (4, 7), (8, 10)]","[(1, 3), (4, 5), (6, 9)]",3
I'm really excited about the party tonight!,I'm so hyped for the bash tonight!,really excited about | party,so hyped for | bash,"[(1, 4), (5, 6)]","[(1, 4), (5, 6)]",2
"Hey, do you want to hang out today?","Yo, wanna chill today? 💥","Hey, do you want to hang out","Yo, wanna chill | 💥","[(0, 7), (8, 8)]","[(0, 3), (4, 5)]",1
"Hey, I just got back from the store and I found some awesome snacks!","Yo, just hit the store and snagged some fire snacks! 😎","Hey, I | got back from | I found | awesome","Yo, | hit | snagged | fire | 😎","[(0, 2), (3, 6), (9, 11), (12, 13), (14, 14)]","[(0, 1), (2, 3), (6, 7), (8, 9), (10, 11)]",4
I'm just going to relax at home and watch some shows tonight.,I'm just finna chill at my place and binge some shows tonight.,going to relax | home | watch,finna chill | my place | binge,"[(2, 5), (6, 7), (8, 9)]","[(2, 4), (5, 7), (8, 9)]",3
I just finished my homework and I'm feeling pretty good about it.,"Just wrapped up my homework, and I’m vibing with how it turned out.",I just finished | homework | I'm feeling pretty good about it.,"Just wrapped up | homework, | I’m vibing with how it turned out.","[(0, 3), (4, 5), (6, 12)]","[(0, 3), (4, 5), (6, 13)]",3
I'm just going to chill at home today and watch some movies.,"I'm just vibing at home today, binge-watching some flicks.",going to chill | today and watch | movies.,"vibing | today, binge-watching | flicks.","[(2, 5), (7, 10), (11, 12)]","[(2, 3), (5, 7), (8, 9)]",3
I'm just tired after a long day at school.,"I'm totally drained after a long day at school, fr fr.",just tired | school.,"totally drained | school, fr fr.","[(1, 3), (8, 9)]","[(1, 3), (8, 11)]",2
I'm just really tired today and feeling lazy.,I'm lowkey exhausted today and vibing in chill mode.,just really tired | feeling lazy.,lowkey exhausted | vibing in chill mode.,"[(1, 4), (6, 8)]","[(1, 3), (5, 9)]",2
I'm just really tired and don't feel like going out tonight.,"I'm totally drained and not vibing with going out tonight, fr.",just really tired | don't feel like | tonight.,"totally drained | not vibing with | tonight, fr.","[(1, 4), (5, 8), (10, 11)]","[(1, 3), (4, 7), (9, 11)]",3
"Hey, can you help me with my homework later?","Yo, can you spot me on my homework later?","Hey, | help | with","Yo, | spot | on","[(0, 1), (3, 4), (5, 6)]","[(0, 1), (3, 4), (5, 6)]",3
I just got home from school and I'm really tired.,Just slid back home from school and I'm dead exhausted.,I just got | really tired.,Just slid back | dead exhausted.,"[(0, 3), (8, 10)]","[(0, 3), (8, 10)]",2
I'm just casually hanging out with my friends after school.,I'm just vibing with my friends after class.,casually hanging out | school.,vibing | class.,"[(2, 5), (9, 10)]","[(2, 3), (7, 8)]",2
"Hey, did you watch the new movie last night?","Yo, did y'all catch the new flick last night?","Hey, | you watch | movie","Yo, | y'all catch | flick","[(0, 1), (2, 4), (6, 7)]","[(0, 1), (2, 4), (6, 7)]",3
"Hey, did you watch that new movie last night?","Yo, peep that new flick last night?","Hey, did you watch | movie","Yo, peep | flick","[(0, 4), (6, 7)]","[(0, 2), (4, 5)]",2
I'm just relaxing at home and binge-watching my favorite series.,"Chillin' at my place, bingeing my fave series, no cap.",I'm just relaxing | home and binge-watching | favorite series.,"Chillin' | place, bingeing my fave series, no cap.","[(0, 3), (4, 7), (8, 10)]","[(0, 1), (2, 2), (3, 10)]",3
"I'm really tired today, so I think I’ll just relax at home.","I'm super wiped today, so I’m just chillin' at home.",really tired | I think I’ll | relax,super wiped | I’m | chillin',"[(1, 3), (5, 8), (9, 10)]","[(1, 3), (5, 6), (7, 8)]",3
I'm really tired today after working all day.,"I'm lowkey beat after grinding all day, fr.",really tired today | working | day.,"lowkey beat | grinding | day, fr.","[(1, 4), (5, 6), (7, 8)]","[(1, 3), (4, 5), (6, 8)]",3
I'm just really tired today because I stayed up late last night.,I'm mad tired today 'cause I lowkey stayed up all night.,just really | because | late last,mad | 'cause | lowkey | all,"[(1, 3), (5, 6), (7, 7), (9, 11)]","[(1, 2), (4, 5), (6, 7), (9, 10)]",3
"Hey, I just finished my homework and I’m so tired.","Yo, I just wrapped my homework and I’m hella whipped.","Hey, | finished | so tired.","Yo, | wrapped | hella whipped.","[(0, 1), (3, 4), (8, 10)]","[(0, 1), (3, 4), (8, 10)]",3
I'm just chilling at home and scrolling through my phone.,I'm just vibing at home and scrolling my feed.,chilling | through | phone.,vibing | feed.,"[(2, 3), (7, 8), (9, 10)]","[(2, 3), (7, 7), (8, 9)]",3
I'm just really tired today and want to relax at home.,I'm totally🥱 today and just wanna chill at home.,just really tired | want to relax,totally🥱 | just wanna chill,"[(1, 4), (6, 9)]","[(1, 2), (4, 7)]",2
I'm really excited to see my friends this weekend.,I'm super hyped to kick it with my squad this weekend!,really excited | see | friends | weekend.,super hyped | kick it with | squad | weekend!,"[(1, 3), (4, 5), (6, 7), (8, 9)]","[(1, 3), (4, 7), (8, 9), (10, 11)]",4
"Hey, do you wanna hang out this weekend?","Yo, you tryna vibe this weekend?","Hey, do | wanna hang out","Yo, | tryna vibe","[(0, 2), (3, 6)]","[(0, 1), (2, 4)]",2
I'm just going to grab some food and relax at home tonight.,"I'm just gonna snag some snacks and chill at home tonight, fr.",going to grab | food | relax | tonight.,"gonna snag | snacks | chill | tonight, fr.","[(2, 5), (6, 7), (8, 9), (11, 12)]","[(2, 4), (5, 6), (7, 8), (10, 12)]",4
"I'm really tired after the long day, so I think I'll just relax at home.","I'm hella wiped from today, so I'm just gonna chill at home.","really tired after the long day, | I think I'll | relax","hella wiped from today, | I'm | gonna chill","[(1, 7), (8, 11), (12, 13)]","[(1, 5), (6, 7), (8, 10)]",3
I'm thinking about going to the park later to relax.,"I'm lowkey tryna hit the park later to chill, fr.",thinking about going to | relax.,"lowkey tryna hit | chill, fr.","[(1, 5), (9, 10)]","[(1, 4), (8, 10)]",2
I'm just really tired today and want to relax.,I'm totally drained today and just wanna chill.,just really tired | want to relax.,totally drained | just wanna chill.,"[(1, 4), (6, 9)]","[(1, 3), (5, 8)]",2
I'm just hanging out with friends at the park today.,"Yo, just chillin' with my crew at the park today, no cap.",I'm | hanging out | friends | today.,"Yo, | chillin' | my crew | today, no cap.","[(0, 1), (2, 4), (5, 6), (9, 10)]","[(0, 1), (2, 3), (4, 6), (9, 12)]",4
"Hey, do you want to grab a coffee after school?","Yo, wanna slide out for some coffee after class?","Hey, do you want to grab a | school?","Yo, wanna slide out for some | class?","[(0, 7), (9, 10)]","[(0, 6), (8, 9)]",2
I'm just going to go for a walk in the park to clear my head.,"I'm just finna take a stroll in the park to clear my mind, fr fr.",going to go for | walk | head.,"finna take | stroll | mind, fr fr.","[(2, 6), (7, 8), (14, 15)]","[(2, 4), (5, 6), (12, 15)]",3
I'm just going to chill at home all day today.,"I'm just gonna veg out at home all day today, no cap.",going to chill | today.,"gonna veg out | today, no cap.","[(2, 5), (9, 10)]","[(2, 5), (9, 12)]",2
I'm just really tired today and I don't want to do anything.,"I'm so drained today, I’m just vibing to chill and do nada.",really tired today | I don't want to | anything.,"so drained today, I’m | vibing to chill | nada.","[(1, 1), (2, 5), (6, 10), (11, 12)]","[(1, 5), (6, 9), (10, 10), (11, 12)]",3
I'm really excited for the new movie tonight.,I'm super pumped for the new flick tonight!,really excited | movie tonight.,super pumped | flick tonight!,"[(1, 3), (6, 8)]","[(1, 3), (6, 8)]",2
I'm just going to chill with my friends this afternoon.,"I'm finna vibing with my squad later, no cap.",just going to chill | friends this afternoon.,"finna vibing | squad later, no cap.","[(1, 5), (7, 10)]","[(1, 3), (5, 9)]",2
"Hey, I just finished my homework and I am so tired.","Yo, just copped my homework and I'm deadass drained.","Hey, I | finished | I am so tired.","Yo, | copped | I'm deadass drained.","[(0, 2), (3, 4), (7, 11)]","[(0, 1), (2, 3), (6, 9)]",3
I'm just really tired today after working all morning.,"I'm super drained today after grinding all morning, fr fr.",just really tired | working | morning.,"super drained | grinding | morning, fr fr.","[(1, 4), (6, 7), (8, 9)]","[(1, 3), (5, 6), (7, 10)]",3
I'm just going to relax and watch some movies tonight.,"Chillin' and vibing with some movies tonight, no cap.",I'm just going to relax | watch | tonight.,"Chillin' | vibing with | tonight, no cap.","[(0, 5), (6, 7), (9, 10)]","[(0, 1), (2, 4), (6, 9)]",3
I'm just taking a walk in the park to clear my mind.,"I'm just vibing through the park to clear my head, no cap.",taking a walk in | mind.,"vibing through | head, no cap.","[(2, 6), (11, 12)]","[(2, 4), (9, 12)]",2
I'm really excited about my upcoming trip to the beach.,"I'm sooo hyped for my trip to the beach, it's gonna be lit!",really excited about | upcoming | beach.,"sooo hyped for | beach, it's gonna be lit!","[(1, 4), (5, 6), (9, 10)]","[(1, 4), (5, 5), (8, 13)]",3
I'm just really tired today and feeling a bit down.,"I'm kinda dead today and mood's kinda off, fr.",just really tired | feeling a bit down.,"kinda dead | mood's kinda off, fr.","[(1, 4), (6, 10)]","[(1, 3), (5, 9)]",2
I'm really excited to see my friends tonight.,I'm super hyped to chill with my squad tonight.,really excited | see | friends,super hyped | chill with | squad,"[(1, 3), (4, 5), (6, 7)]","[(1, 3), (4, 6), (7, 8)]",3
I'm just chilling at home and watching some Netflix.,"I'm just vibing at home and Netflix-ing, fr fr.",chilling | watching some Netflix.,"vibing | Netflix-ing, fr fr.","[(2, 3), (6, 9)]","[(2, 3), (6, 9)]",2
I'm just chillin' at home after a long day.,"I'm just vibing at home after a long day, no cap.",chillin' | day.,"vibing | day, no cap.","[(2, 3), (8, 9)]","[(2, 3), (8, 11)]",2
"Hey, did you hear about the new music app that just came out?","Yo, did y'all peep the new music app that dropped?","Hey, | you hear about | just came out?","Yo, | y'all peep | dropped?","[(0, 1), (2, 5), (10, 13)]","[(0, 1), (2, 4), (9, 10)]",3
Can you help me with my homework later?,"Yo, can you peep my homework later?",Can | help me with,"Yo, can | peep","[(0, 1), (2, 5)]","[(0, 2), (3, 4)]",2
"Hey, do you want to grab a coffee today?","Yo, wanna hit up Starbucks today?","Hey, do you want to grab a coffee","Yo, wanna hit up Starbucks","[(0, 8)]","[(0, 5)]",1
"I'm just chillin' at home, watching some TV.","Just vibin' at home, Netflix and chillin'.",I'm just chillin' | watching some TV.,Just vibin' | Netflix and chillin'.,"[(0, 3), (5, 8)]","[(0, 2), (4, 7)]",2
"Hey, do you want to hang out at the park this afternoon?","Yo, wanna vibe at the park later?","Hey, do you want to hang out | this afternoon?","Yo, wanna vibe | later?","[(0, 7), (10, 12)]","[(0, 3), (6, 7)]",2
"Hey, want to grab lunch together later?","Yo, wanna catch some lunch later?","Hey, want to grab | together","Yo, wanna catch some","[(0, 4), (5, 6)]","[(0, 4), (5, 5)]",2
