normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"On 23 January 2006 , Ericsson acquired a majority of Marconi Communications ' parent company , Marconi Corporation plc . The remainder of Marconi Corporation plc was renamed Telent plc .","On 23 January 2006 , Ericsson acquired a majority stake in the parent company of Marconi Communications , Marconi Corporation plc . The rest of Marconi Corporation plc was renamed Telent plc .",' parent company | remainder,stake in the parent company | rest,"[(12, 15), (21, 22)]","[(9, 14), (23, 24)]",2
"If `` f '' is in Hardy space `` H '' , then it has a factorization","If `` f '' is in the Hardy - Space `` H '' , then it has a factorization",space,the | - Space,"[(7, 8)]","[(6, 7), (8, 10)]",2
`` m '' is the number of edges and `` n '' represents the number of vertices .,`` m '' is the number of edges and `` n '' represents the number of corners .,vertices,corners,"[(16, 17)]","[(16, 17)]",1
Scott and Short then traveled overland to the Kentucky River to claim the land they would later examine .,Then Scott and Short traveled overland to the Kentucky River to claim the land that they would later investigate .,then | examine,Then | that | investigate,"[(3, 4), (17, 18)]","[(0, 1), (14, 15), (18, 19)]",3
The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and lyrics was written by M. B. Sreenivasan .,The music was composed by K. Ayyappa Panicker and Kavalam Narayana Panicker and the lyrics by M. B. Sreenivasan were written .,was written,the | were written,"[(14, 16)]","[(13, 14), (19, 21)]",2
"The host spills incense over the table , then lifts and breaks the bread .","The host wafts incense over the table , then lifts and breaks the bread .",spills,wafts,"[(2, 3)]","[(2, 3)]",1
"He was an atheist in early life , but transformed into a believer in the later stages .",He was an atheist in early life but converted into a believer in the later stages .,", | transformed",converted,"[(7, 8), (9, 10)]","[(8, 9)]",1
NOTE : The 1790 in architecture article states that the house was finished in 1790 and was built by Don Santiago Lorreins .,Note : The article in architecture in 1790 states that the house was completed in 1790 and built by Don Santiago Lorreins .,NOTE | 1790 | article | finished | was,Note | article | in 1790 | completed,"[(0, 1), (3, 4), (6, 7), (12, 13), (16, 17)]","[(0, 1), (3, 4), (6, 8), (13, 14)]",4
The following table lists all the games played by the Brazil national football team in official competitions and friendly matches during 1983 .,The following table lists all the games that the Brazilian national football team played in official competitions and friendly matches during 1983 .,played by | Brazil,that | Brazilian | played,"[(7, 9), (10, 11)]","[(7, 8), (9, 10), (13, 14)]",3
In 1654 the Irish parliament gave Oliver Cromwell a free hand to banish British `` undesirables '' .,"In 1654 , Oliver Cromwell , the Irish parliament , gave a free hand to banish the British `` undesirables .",Oliver Cromwell | '',", Oliver Cromwell , | , | the","[(6, 8), (16, 17)]","[(2, 6), (9, 10), (16, 17)]",3
If `` A '' and `` B '' are Banach spaces the algebraic tensor product of `` A '' and `` B '' means the tensor product of,"If `` A '' and `` B '' Banach are rooms , the algebraic tensor product of `` A '' and `` B '' means the tensor product of",are | spaces,"are rooms ,","[(8, 9), (10, 11)]","[(9, 12)]",1
The term is sometimes used in exclusive reference to Guatemala and Mexico .,Sometimes the term is used in exclusive reference to Mexico & Guatemala .,The | sometimes | Guatemala and,Sometimes the | & Guatemala,"[(0, 1), (3, 4), (9, 11)]","[(0, 2), (10, 12)]",2
"He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he moved to CBS Sports .","He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he changed to CBS Sports .",moved,changed,"[(23, 24)]","[(23, 24)]",1
Continue to the north through Hughesville on Old Leonardtown Road ( MD 625 ) .,( MD 625 ) continues to the north through Hughesville on Old Leonardtown Road .,Continue | ( MD 625 ),( MD 625 ) continues,"[(0, 1), (10, 14)]","[(0, 5)]",1
Taungya also meant that the British or their agents would return to the previously cut areas after some years to harvest the newly planted teak .,Taungya also meant that after a few years the British or their agents would return to the previously cut off areas to harvest the newly planted teak wood .,after some years,after a few years | off | wood,"[(16, 19)]","[(4, 8), (19, 20), (27, 28)]",3
"It was formed in 1998 by Astrid M. , Robert N. and Olaf K .","It was formed by Astrid M. , Robert N. and Olaf K. in 1998 .",in 1998 | K,K. in 1998,"[(3, 5), (13, 14)]","[(11, 14)]",1
"In August , their joint team had lifted the Merdeka cup in Malaysia , while their junior team was national champions in Asian Youth football .","In August , their joint team lifted the Merdeka Cup in Malaysia , while their junior team was national masters in Asian youth football .",had | cup | champions | Youth,Cup | masters | youth,"[(6, 7), (10, 11), (20, 21), (23, 24)]","[(9, 10), (19, 20), (22, 23)]",3
"Via the Appomattox River and the Bush River , it is part of the watershed of the James River .","Via the Appomattox River and the Bush River , it is part of the James River watershed .",watershed of the,watershed,"[(14, 17)]","[(16, 17)]",1
"After her father 's death , Allie sails alone from England to Australia .",Allie sails from England to Australia alone after her father 's death .,"After her father 's death , | alone",alone after her father 's death,"[(0, 6), (8, 9)]","[(6, 12)]",1
"It also inhibits the peripheral , though not central secretion of oxytocin and vasopressin in rats .","In rats , it also inhibits the peripheral , if not central , secretion of oxytocin and vasopressin .",It | though | in rats,"In rats , it | if | ,","[(0, 1), (6, 7), (14, 16)]","[(0, 4), (9, 10), (12, 13)]",3
"`` We find the following local item telegraphed to the Fayette Republican from Cedar Rapids , March 6 , 1885 .","We find the following local item , which was telegraphed to the Republican fayette from Cedar Rapids , March 6 , 1885 .",`` | Fayette,", which was | fayette","[(0, 1), (10, 11)]","[(6, 9), (13, 14)]",2
"Sinclair T. Chitty , his mother , married at the age of 15 his father Thomas Kincaid Blake Jr..",John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15 .,", his mother , | at the age of 15 | Jr..",John 's mother | Jr. at the age of 15 .,"[(3, 7), (8, 13), (18, 19)]","[(0, 3), (12, 19)]",2
Christina is shocked and Wilhelmina does not believe .,Christina is shocked and does not believe Wilhelmina .,Wilhelmina,Wilhelmina,"[(4, 5)]","[(7, 8)]",1
"Alison Teresa Thiessen ( born October 19 , 1992 in Edmonton , Alberta as Alison Kotylak ) is a Canadian curler .","Alison Teresa Thiessen ( born October 19 , 1992 in Edmonton , Alberta , Alison Kotylak ) is a Canadian curler .",as,",","[(13, 14)]","[(13, 14)]",1
In 1975 he moved to Odibo and returned to Windhoek in 1977 .,"In 1975 he moved to Odibo , and in 1977 returned to Windhoek .",in 1977,", | in 1977","[(10, 12)]","[(6, 7), (8, 10)]",2
"Sam has a much younger brother called Hank Bennett , who is not much older than Sam 's eldest son .",Sam has a much younger brother named Hank Bennett who is not much older than Sam 's eldest son .,"called | ,",named,"[(6, 7), (9, 10)]","[(6, 7)]",1
"The inscription is , therefore , of linguistic importance for the first history of northern India .","For the first history of northern India , the inscription is therefore of linguistic significance .","The inscription is , therefore , of linguistic importance for","For | , the inscription is therefore of linguistic significance","[(0, 10)]","[(0, 1), (7, 15)]",2
"Kelso High School provides primary education to the town , and secondary education is provided by Edenside Primary and Broomlands Primary .",The Kelso High School provides primary education and upper secondary education is provided by Edenside Primary and Broomlands Primary .,"to the town ,",The | upper,"[(6, 10)]","[(0, 1), (8, 9)]",2
There is a collapsible water tank and a fuel tank with removable hatch for cleaning .,There is a collapsible water tank and a fuel tank with a removable hat for cleaning .,hatch,a | hat,"[(12, 13)]","[(11, 12), (13, 14)]",2
"Minervén Sport Club , formerly Minervén Bolívar Fútbol Club , usually known as Minervén , is a Venezuelan football ( soccer ) club .","Minervén Sport Club , formerly known as Minervén Bolívar Fútbol Club , is a Venezuelan football club .","usually known as Minervén , | ( soccer )",known as,"[(10, 15), (19, 22)]","[(5, 7)]",1
Naa Bolinaa Saaka is a Ghanaian diplomat and a member of the New Patriotic Party of Burkina Faso . He is currently Ghana 's ambassador to Ghana .,"Naa Bolinaa Saaka is a Ghanaian diplomat , member of the New Patriotic Party of Burkina Faso and currently Ghana 's Ambassador to Ghana .",and a | . He is | ambassador,", | and | Ambassador","[(7, 9), (18, 21), (24, 25)]","[(7, 8), (17, 18), (21, 22)]",3
"A Chinese version , the T28sc was released in China with support for reading and entering special characters .","A Chinese version , the T28sc was published in China with support for reading and entering special characters .",released,published,"[(7, 8)]","[(7, 8)]",1
"Moore was survived by his wife Lillian , and daughter Marjorie Ann Snave .",Moore was survived by his wife Lillian and their daughter Marjorie Ann Snave .,",",their,"[(7, 8)]","[(8, 9)]",1
"He was a member of the Louisiana State Fair Board , Chairman of the State Fair Stadium Commission and Commissioner of the Louisiana Superdome in New Orleans .","He was a member of the Louisiana State Fair Board , chairman of the State Fair Stadium Commission , and a commissioner of the Louisiana Superdome in New Orleans .",Chairman | Commissioner,"chairman | , | a commissioner","[(11, 12), (19, 20)]","[(11, 12), (18, 19), (20, 22)]",3
"In early 1999 , he was instrumental in removing then Opposition Leader Steve Bracks and electing his successor John Brumby .","In early 1999 , he was instrumental in removing the then opposition leader , Steve Bracks , and electing his successor , John Brumby .",Opposition Leader,"the | opposition leader , | , | ,","[(10, 12)]","[(9, 10), (11, 14), (16, 17), (21, 22)]",4
"Shensari is a village in the Dahanu district of Maharashtra , India . It is located in Palghar Taluka .","Shensari is a village in the Dahanu district of Maharashtra , India . It is located in the Palghar taluka .",Taluka,the | taluka,"[(18, 19)]","[(17, 18), (19, 20)]",2
"Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and rebel who fought for the unification of Kosovo with Albania .","Azem Bejta ( 1889 -- 1924 ) , commonly known as Azem Galica , was an Albanian nationalist and rebel fighting for the unification of Kosovo with Albania .",who fought,fighting,"[(20, 22)]","[(20, 21)]",1
"It is found along the southern Australian coast from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .","Along the southern Australian coast , it is found from Shark Bay in Western Australia to Maroochydore in Queensland , including Tasmania .",It is found along,"Along | , it is found","[(0, 4)]","[(0, 1), (5, 9)]",2
Mishima is spoken in Japanese and Daisuke Sakaguchi in English by Sean Chiplock .,Mishima is voiced by Sean Chiplock in Japanese and Daisuke Sakaguchi in English .,spoken | by Sean Chiplock,voiced by Sean Chiplock,"[(2, 3), (10, 13)]","[(2, 6)]",1
"Yanqing imprisonment is a prison in Beijing in the municipality of Yanqing County , China .","Yanqing Prison is a prison in Beijing in the municipality of Yanqing County , China .",imprisonment,Prison,"[(1, 2)]","[(1, 2)]",1
"The New York and Erie Railroad completed its route between Piermont and Dunkirk in 1851 , New York via Hornell and Salamanca .","The New York and Erie Railroad completed its line between Piermont and Dunkirk , New York via Hornell and Salamanca in 1851 .",route | in 1851,line | in 1851,"[(8, 9), (13, 15)]","[(8, 9), (20, 22)]",2
"For the simple mirror shown in the diagram , typical values of formula _ 8 will yield a current match of 1 % or better .","For the simple mirror shown on the diagram , typical values of Formula 8 result in a current match of 1 % or better .",in | formula _ | will yield,on | Formula | result in,"[(5, 6), (12, 14), (15, 17)]","[(5, 6), (12, 13), (14, 16)]",3
"The album was released on May 2 , 2006 , under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's murder in December 2004 .","The album was released on May 2 , 2006 under Vinnie Paul 's own label Big Vin Records , posthumously after Dimebag 's assassination in December 2004 .",", | murder",assassination,"[(9, 10), (24, 25)]","[(23, 24)]",1
Stefan informs Caroline that Alaric ( Paul Wesley ) has stopped looking for a way to get Damon and Bonnie back .,Stefan informs Caroline that Alaric ( Paul Wesley ) stopped looking for a way to bring back Damon and Bonnie .,has | get | back,bring back,"[(9, 10), (16, 17), (20, 21)]","[(15, 17)]",1
"Johannes Vares Barbarus ( -- 29 November 1946 ) , commonly known as Johannes Vares , was an Estonian poet , medical doctor , and politician .","Johannes Vares Barbarus ( -- November 29 , 1946 ) , commonly known as John Vares , was an Estonian poet , doctor , and politician .",29 | Johannes | medical,"29 , | John","[(5, 6), (13, 14), (21, 22)]","[(6, 8), (14, 15)]",2
"Grant holds several records in multiple categories for Utah , including many all-time records , such as :","Grant holds multiple records in several categories for Utah , including many all-time records , such as :",several | multiple,multiple | several,"[(2, 3), (5, 6)]","[(2, 3), (5, 6)]",2
"The population is 80 ( census 2011 ) is a village in the Croatian region of Slavonia , located east of Daruvar .","Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 80 ( census 2011 ) .",The population is 80 ( census 2011 ) | Croatian,Markovac | Croatia | The population is 80 ( census 2011 ) .,"[(0, 8), (13, 14)]","[(0, 1), (6, 7), (16, 25)]",3
"This victory repeated in an Opel Astra in 2003 this victory with Reuter , Timo Scheider , Volker Strycek and Marcel Tiemann .","This victory repeated in an Opel Astra in 2003 this victory with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .",Timo Scheider | Marcel Tiemann,Marcel Tiemann | Timo Scheider,"[(14, 16), (20, 22)]","[(14, 16), (20, 22)]",2
From 1996 to September 2010 he was ambassador of Belgium near Liechtenstein .,From 1996 to September 2010 he was Ambassador of Belgium to Liechtenstein .,ambassador | near,Ambassador | to,"[(7, 8), (10, 11)]","[(7, 8), (10, 11)]",2
"The Birds Handbook in India and Pakistan is the `` Magnum Opus '' of the Indian ornithologist S. Dillon Ripley , written with Salim Ali .","The Handbook of the Birds of India and Pakistan is the `` magnum opus '' of Indian ornithologist S. Dillon Ripley , written along with Salim Ali .",Birds | in | Magnum Opus | the,of the Birds of | magnum opus | along,"[(1, 2), (3, 4), (10, 12), (14, 15)]","[(2, 6), (12, 14), (23, 24)]",3
"In March 1799 , Captain David Lloyd replaced Boyle and sailed on 4 March with `` Hyaena '' towards the Mediterranean .","In March 1799 Captain David Lloyd replaced Boyle , and sailed `` Hyaena '' for the Mediterranean on 4 March .",", | on 4 March with | towards",", | for | on 4 March","[(3, 4), (11, 15), (18, 19)]","[(8, 9), (14, 15), (17, 20)]",3
"A spire was designed by Barry in 1841 , but it was never built .","A tower was designed by Barry in 1841 , but it was never built .",spire,tower,"[(1, 2)]","[(1, 2)]",1
"From 1911 to 1946 , Temuka was a parliamentary electorate in the Canterbury region of New Zealand and was represented by four Members of Parliament .",Temuka was a parliamentary electorate in the Canterbury region of New Zealand from 1911 to 1946 . The electorate was represented by four Members of Parliament .,"From 1911 to 1946 , | and",from 1911 to 1946 . The electorate,"[(0, 5), (17, 18)]","[(12, 19)]",1
Cunningham Elementary School was recognized by Governor Jim McGreevey in 2003 as one of 25 schools selected statewide for the First Annual Governor 's School of Excellence award .,Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .,in 2003 | statewide | First Annual Governor 's | award,in 2003 | nationwide | first annual governor of the | Award,"[(9, 11), (17, 18), (20, 24), (27, 28)]","[(5, 7), (17, 18), (20, 25), (28, 29)]",4
Stephen D. Reicher ( Steve Reicher ) is a Professor of Social Psychology and a former head of the School of Psychology at the University of St Andrews .,Steve Reicher ( Stephen D Reicher ) is a Professor of Social Psychology and former Head of the School of Psychology at the University of St Andrews .,Stephen D. | Steve | a | head,Steve | Stephen D | Head,"[(0, 2), (4, 5), (14, 15), (16, 17)]","[(0, 1), (3, 5), (15, 16)]",3
In the ninth century BC it became part of Assyria and remained in it until the late seventh century BC .,In the ninth century BC it became part of Assyria and remained so until the late seventh century BC .,in it,so,"[(12, 14)]","[(12, 13)]",1
"In 1236 , Magnus , son of Gille Brigte , Mormaer of Angus , was granted the Jarldom of Orkney by King Haakon Haakonsson .","In 1236 , Magnus , the son of Gille Brigte , Mormaer of Angus , was awarded the Jarldom of Orkney by King Haakon Haakonsson .",granted,the | awarded,"[(15, 16)]","[(5, 6), (16, 17)]",2
"Politically , Jalajala is divided into eleven barangays ( three rural , eight urban ) .","Jalajala is politically subdivided into eleven barangays ( three rural , eight urban ) .","Politically , | divided",politically subdivided,"[(0, 2), (4, 5)]","[(2, 4)]",1
"Following the Allied victory in May 1945 , the Soviets occupied Central and Eastern Europe , while strong US and Western allies remained in Western Europe .","Following the Allies ' May 1945 victory , the Soviets effectively occupied Central and Eastern Europe , while strong US and Western allied forces remained in Western Europe .",Allied victory in | allies,Allies ' | victory | effectively | allied forces,"[(2, 5), (21, 22)]","[(2, 4), (6, 7), (10, 11), (22, 24)]",4
Roger Kirk was born in Norfolk and brought up and educated in East London .,Roger Kirk was born in Norfolk and brought up and trained in East London .,educated,trained,"[(10, 11)]","[(10, 11)]",1
This was more common in urban Australia but has been in common usage in regional Australia and South Australia for decades .,"This was more common in urban Australia , but has been common for decades in regional Australia and southern Australia .",in | usage | South | for decades,", | for decades | southern","[(10, 11), (12, 13), (17, 18), (19, 21)]","[(7, 8), (12, 14), (18, 19)]",3
Ferguson has two sisters ( one older and one younger ) and one younger brother .,Ferguson had two sisters ( one older and one younger ) and one younger brother .,has,had,"[(1, 2)]","[(1, 2)]",1
"She was born Doris Miles in Fredericksburg , Virginia , and married George J. Disney in 1936 . She died in Glastonbury , Connecticut .","Born as Doris Miles in Fredericksburg , Virginia , she married George J. Disney in 1936 and died in Glastonbury , Connecticut .",She was born | and | . She,Born as | she | and,"[(0, 3), (10, 11), (17, 19)]","[(0, 2), (9, 10), (16, 17)]",3
"The Lord Chancellor , a post in the UK Government , is responsible for relations between the government and the Channel Islands .","Lord Chancellor , a post in the British Government , is responsible for relations between the Channel Islands and the government .",The | UK | government and the,British | and the government,"[(0, 1), (8, 9), (17, 20)]","[(7, 8), (18, 21)]",2
"Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 - 6 against Gary Donnelly and Jim Grabb .","Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 -- 6 , against Gary Donnelly and Jim Grabb .",-,"-- | ,","[(18, 19)]","[(18, 19), (20, 21)]",2
"Former recurring players from the show include Mujibur Rahman and Sirajul Islam ( employees of a nearby gift store which has since relocated ) , Calvert DeForest ( a.k.a .","Former recurring players from the show include Mujibur Rahman and Sirajul Islam ( employees of a nearby gift shop , which has since been moved ) , Calvert DeForest ( a.k.a .",store | relocated,"shop , | been moved","[(18, 19), (22, 23)]","[(18, 20), (23, 25)]",2
The President remains the main legal authority that ratifies the key documents in the IT sector and leads the ICT policy in the country .,The president remains the main legal authority that ratifies the key documents in the IT sector and directs ICT policy in the country .,President | leads the,president | directs,"[(1, 2), (17, 19)]","[(1, 2), (17, 18)]",2
"They were scheduled to play in three Texas cities , Dallas , Tyler , and San Antonio , which was cancelled due to an illness .","They were planning to play in three Texan cities , Dallas , Tyler and San Antonio , which was cancelled due to an illness .","scheduled | Texas | ,",planning | Texan,"[(2, 3), (7, 8), (13, 14)]","[(2, 3), (7, 8)]",2
Separate lists are provided for the 61 listed properties and historic districts in Chicago and more than 350 listed properties and districts in Evanston .,Separate lists are provided for the 61 listed properties and historical districts in Chicago and more than 350 listed properties and districts in Evanston .,historic,historical,"[(10, 11)]","[(10, 11)]",1
"He received a formal koan in 1988 - studied with Yamada Koun and completed the Dharma name Tetsu-un , `` Wisdom - Cloud '' .","He received formal koan study in 1988 with Yamada Koun and completed the dharma name Tetsu-un , `` Wisdom Cloud '' .",a | - studied | Dharma | -,study | dharma,"[(2, 3), (7, 9), (15, 16), (21, 22)]","[(4, 5), (13, 14)]",2
"From 1990 to 1992 , Walt Harris had the same positions at Division I - A ( now Division I FBS ) Pacific under White .","From 1990 to 1992 , Walt Harris had the same positions at Division I-A ( now Division I FBS ) Pacific under White .",I - A,I-A,"[(13, 16)]","[(13, 14)]",1
"He was also employed by NBC as a regional CBS NFL and CBS NBA announcer from 1976 to 1979 , after which he moved to CBS Sports .","From 1976 to 1979 , he was also employed as a regional CBS NFL and CBS NBA announcer at NBC , after which he switched to CBS Sports .",He | by NBC | from 1976 to 1979 | moved,"From 1976 to 1979 , he | at NBC | switched","[(0, 1), (4, 6), (15, 19), (23, 24)]","[(0, 6), (18, 20), (24, 25)]",3
Boas used his positions at Columbia University and the American Museum of Natural History to develop and train multiple generations of students .,His positions at Columbia University and the American Museum of Natural History were used to develop and train several generations of students .,Boas used his | multiple,His | were used | several,"[(0, 3), (18, 19)]","[(0, 1), (12, 14), (18, 19)]",3
Lars Rosing plays the protagonist Malik in Greenland 's first international feature film `` Nuummioq '' . Lars Rosing lives near Montreal in Canada .,"Lars Rosing plays the protagonist Malik in Greenland 's first international feature film `` Nuummioq '' , Lars Rosing lives near Montreal , Canada .",. | in,", | ,","[(16, 17), (22, 23)]","[(16, 17), (22, 23)]",2
It does not much matter whether modern users know that they are classical or not .,Whether modern users know that they are classical or not does not matter .,It does not much matter whether,Whether | does not matter,"[(0, 6)]","[(0, 1), (10, 13)]",2
"The team added a second car for Thed Björk in 2006 , and was replaced by Richard Göransson in 2009 .","In 2006 , the team added a second car for Thed Bjork and was replaced by Richard Göransson in 2009 .","The | Björk in 2006 ,","In 2006 , the | Bjork","[(0, 1), (8, 12)]","[(0, 4), (11, 12)]",2
"For the third time , Glenn Glenn Howard won the Ontario Championship either as 17th or as a skip .",Glenn Howard won the Ontario Championship for the third time as either 17th or skip .,"For the third time , Glenn | either | as a",for the third time | either,"[(0, 6), (12, 13), (16, 18)]","[(6, 10), (11, 12)]",2
The primitive heart or tubular heart tube is the earliest stage of heart development .,The primitive heart or tube-shaped heart tube is the earliest stage of heart development .,tubular,tube-shaped,"[(4, 5)]","[(4, 5)]",1
"In 1997 , he made a cameo appearance in the episode 164 of Wings ( 8th episode of the 16th season ) entitled `` Flight from New York '' .","In 1997 , he made a cameo appearance in episode 164 of Wings ( 8th episode of the 16th season ) entitled `` Escape from New York '' .",the | Flight,Escape,"[(9, 10), (24, 25)]","[(23, 24)]",1
"The project was the creation of Mute Records founder Daniel Miller , with Frank Tovey acting as the band 's fictional frontman .","The project was the creation of Mute Records - founder Daniel Miller , with Frank Tovey as a fictional frontman of the band .",acting | the band 's,- | a | of the band,"[(15, 16), (17, 20)]","[(8, 9), (17, 18), (20, 23)]",3
The family is very religious and at the age of 12 Géneviève joined her protestant church 's junior choir .,"The family is very religious and , at the age of 12 , Géneviève joined the junior choir of her Protestant church .",her protestant church 's,", | , | the | of her Protestant church","[(13, 17)]","[(6, 7), (12, 13), (15, 16), (18, 22)]",4
"On the northern side of the administration building the hangars were built 1 -- 4 , on the south side the hangars 5 -- 8 were built .","Hangars 1 -- 4 were built on the north side of the administration building , while hangars 5 -- 8 were built on the south side .",On | northern | the hangars were built 1 -- 4 | on the south side the,Hangars 1 -- 4 were built on | north | while | on the south side,"[(0, 1), (2, 3), (8, 15), (16, 21)]","[(0, 7), (8, 9), (15, 16), (22, 26)]",4
In 2007 he drove as a Toyota test driver and also continued the GP2 - Team Trident Racing .,"In 2007 , he drove as a Toyota test driver and also continued for GP2 team Trident Racing .",the | - Team,", | for | team","[(12, 13), (14, 16)]","[(2, 3), (13, 14), (15, 16)]",3
The results of the national championships were used to choose the Austrian teams to the 2004 World Figure Skating Championships and the 2004 European Figure Skating Championships .,The results of the national championships were used to select the Austrian teams for the 2004 World Figure Skating Championships and the European Figure Skating Championships in 2004 .,choose | to | 2004,select | for | in 2004,"[(9, 10), (13, 14), (22, 23)]","[(9, 10), (13, 14), (26, 28)]",3
"In collaboration with cousin Harold White , B & H Publications produced `` George Bernard Shaw Through The Camera '' in 1948 .","In 1948 , B & amp ; H Publications produced through the camera `` in cooperation with Cousin Harold White '' George Bernard Shaw .",collaboration with cousin Harold White | Through The Camera '' in 1948,1948 | amp ; | through the camera | in cooperation with Cousin Harold White '',"[(1, 6), (16, 22)]","[(1, 2), (5, 7), (10, 13), (14, 21)]",4
"On the runway she went among others for Lacoste , Michael Kors , Valentino , Fendi , Alexander Wang , Altuzarra and Jason Wu .","On the runway , she has walked for Lacoste , Michael Kors , Valentino , Fendi , Alexander Wang , Altuzarra , and Jason Wu among others .",went among others,", | has walked | , | among others","[(4, 7)]","[(3, 4), (5, 7), (21, 22), (25, 27)]",4
Belbin and White were engaged in June 2014 and married on 25 April 2015 .,"Belbin and White became engaged in June 2014 and were married on April 25 , 2015 .",were | 25,"became | were | 25 ,","[(3, 4), (11, 12)]","[(3, 4), (9, 10), (13, 15)]",3
After harvesting bamboo it still changes in size and shape so that after cutting it has to rest for 3 years before it can be used .,"After harvesting bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .",in | that | has to rest for 3 years,", | it must rest for to 3 years","[(6, 7), (11, 12), (15, 21)]","[(9, 10), (11, 18)]",2
"During the American Civil War , Corydon was the site of the Battle of Corydon , the only official pitched battle waged in Indiana .","During the American Civil War , Corydon was the place of the battle of Corydon , the only official battle in Indiana .",site | Battle | pitched | waged,place | battle,"[(9, 10), (12, 13), (19, 20), (21, 22)]","[(9, 10), (12, 13)]",2
"Quetzalcoatl 's father Zolton was murdered ; Quetzalcoatl was informed by Cozcaquauhtli that `` the uncles who had killed his father were Apanecatl , Mixcoatl , and Cuilton '' .","Quetzalcoatl 's father Zolton was murdered , Quetzalcoatl was informed by Cozcaquauhtli that `` the uncles who had killed his father , Apanecatl , Mixcoatl and Cuilton were '' .","; | were | ,",", | , | were","[(6, 7), (21, 22), (25, 26)]","[(6, 7), (21, 22), (27, 28)]",3
Chris Egan ( Nick Smith ) settles in Summer Bay with his family and he and Duncan quickly become friends and get into various scrapes .,"Nick Smith ( Chris Egan ) settles with his family in Summer Bay , and he and Duncan quickly get friends and get into various crises .",Chris Egan ( | in Summer Bay | become | scrapes,"( Chris Egan | in Summer Bay , | get | crises","[(0, 3), (7, 10), (18, 19), (24, 25)]","[(2, 5), (10, 14), (19, 20), (25, 26)]",4
"Robert Wilson was born on June 24 , 1766 in Newcastle , George Wilson , a shipbuilder , and Mary Finlay .","Robert Wilson was born on 24 June 1766 to George Wilson , a shipbuilder , and Mary Finlay in Newcastle .","June | , | in Newcastle ,",June | to | in Newcastle,"[(5, 6), (7, 8), (9, 12)]","[(6, 7), (8, 9), (18, 20)]",3
"Outraged that Mehmet Gega escaped retribution , the group took position of Janevski to continue the protest .","Outraged that Mehmet Gega escaped retribution , Janevski 's group took position to continue the protest .",the | of Janevski,Janevski 's,"[(7, 8), (11, 13)]","[(7, 9)]",1
The goal of the learning process is to maximize the error rate on a `` typical '' test set ( to minimize the correctness ) .,The goal of the learning procedure is then to maximize the error rate ( minimize the correctness ) on a `` typical '' test set .,process | ( to minimize the correctness ),procedure | then | ( minimize the correctness ),"[(5, 6), (19, 25)]","[(5, 6), (7, 8), (13, 18)]",3
"Annbal Cardozo ( born June 16 , 1981 in Pedro Juan Caballero ) is a Paraguayan football defender .","Derlis Aníbal Cardozo ( born 16 June 1981 , in Pedro Juan Caballero ) is a Paraguayan football defender .","Annbal | June | ,","Derlis Aníbal | June | ,","[(0, 1), (4, 5), (6, 7)]","[(0, 2), (6, 7), (8, 9)]",3
"Founded in 1959 by Sérgio Britto , it has presented actors such as Fernanda Montenegro , Gianni Ratto , Italo Rossi , Tommy Wiseau and Fernando Torres .","Founded in 1959 by Sérgio Britto , it has featured actors such as Fernanda Montenegro , Gianni Ratto , Ítalo Rossi , Tommy Wiseau , and Fernando Torres .",presented | Italo,"featured | Ítalo | ,","[(9, 10), (19, 20)]","[(9, 10), (19, 20), (24, 25)]",3
This scene was cut even though its opening recitative was present in rewritten form in the first production .,"This scene was cut , although its opening recitative in rewritten form was present in the first production .",even though | was present,", although | was present","[(4, 6), (9, 11)]","[(4, 6), (12, 14)]",2
Saladas Department is a department of Argentina in Corrientes Province .,Saladas Department is a department of Argentina in the Corrientes province .,Province,the | province,"[(9, 10)]","[(8, 9), (10, 11)]",2
"Vassiliki Kydonaki ( born March 26 , 1993 ) , known as Vasso Kydonaki , is a Greek footballer .","Vassiliki Kydonaki ( born 26 March 1993 ) , commonly known also as Vasso Kydonaki , is a Greek footballer .","March | ,",March | commonly | also,"[(4, 5), (6, 7)]","[(5, 6), (9, 10), (11, 12)]",3
The published literature of Yoruba begins with the formation of its grammar written in 1843 .,Yoruba published literature begins with the formation of its grammar written in 1843 .,The | of Yoruba,Yoruba,"[(0, 1), (3, 5)]","[(0, 1)]",1
