term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
abacabb,this was the code that would let you have blood in mortal kombat,The abacabb was unbearable.,The this was the code that would let you have blood in mortal kombat was unbearable.,abacabb,this was the code that would let you have blood in mortal kombat,1,"[(1, 2)]","[(1, 14)]"
bushwhore,(n) a blind follower of george w bush and his administration's policies,Nobody warned me about bushwhore.,Nobody warned me about (n) a blind follower of george w bush and his administration's policies.,bushwhore,(n) a blind follower of george w bush and his administration's policies.,4,"[(4, 5)]","[(4, 16)]"
diarise,"""wanky corporate lingo meaning to ""enter into your diary"" used by wanky corporate types",I can't handle this diarise anymore.,"I can't handle this situation of wanky corporate lingo meaning to ""enter into your diary"" used by wanky corporate types anymore.",diarise,"situation of wanky corporate lingo meaning to ""enter into your diary"" used by wanky corporate types",4,"[(4, 5)]","[(4, 20)]"
cgwbt,"""prounounced as ""chig-whibt,"" this is a phrase that stands for ""cheerful girls with big tits,"" the most prestigious sort of girls",Have you dealt with cgwbt before?,"Have you dealt with prounounced as ""chig-whibt,"" this is a phrase that stands for ""cheerful girls with big tits,"" the most prestigious sort of girls before?",cgwbt,"prounounced as ""chig-whibt,"" this is a phrase that stands for ""cheerful girls with big tits,"" the most prestigious sort of girls",4,"[(4, 5)]","[(4, 25)]"
chaoism,any policy approved by elaine chao that is detrimental to the working or middle class people in the united states of america,This is textbook chaoism.,This is a textbook case of any policy approved by elaine chao that is detrimental to the working or middle class people in the united states of america.,chaoism,a | case of any policy approved by elaine chao that is detrimental to the working or middle class people in the united states of america.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 28)]"
felacio,a dumbass' mispelling of fellatio,We've reached peak felacio.,We've reached peak a dumbass' mispelling of fellatio.,felacio,a dumbass' mispelling of fellatio.,3,"[(3, 4)]","[(3, 8)]"
chappelled,the word used in which one who feels exultant by common supremacy of a leading figure,The chappelled was unbearable.,The the word used in which one who feels exultant by common supremacy of a leading figure was unbearable.,chappelled,the word used in which one who feels exultant by common supremacy of a leading figure,1,"[(1, 2)]","[(1, 17)]"
dinlo,"the true definition of this word is slow or retarded, it is a romany (gypsy language) word that has been adopted widely by the east coast",Nobody warned me about dinlo.,"Nobody warned me about the true definition of this word is slow or retarded, it is a romany (gypsy language) word that has been adopted widely by the east coast.",dinlo,"the true definition of this word is slow or retarded, it is a romany (gypsy language) word that has been adopted widely by the east coast.",4,"[(4, 5)]","[(4, 30)]"
Wth,what the hell,I can't handle this wth anymore.,I can't handle this situation of what the hell anymore.,Wth,situation of what the hell,4,"[(4, 5)]","[(4, 9)]"
pebcak,"""pebcak stands for ""problem exists between chair and keyboard"" thereby referring to a computer problem that is operator induced",Have you dealt with pebcak before?,"Have you dealt with pebcak stands for ""problem exists between chair and keyboard"" thereby referring to a computer problem that is operator induced before?",pebcak,"stands for ""problem exists between chair and keyboard"" thereby referring to a computer problem that is operator induced",4,"[(5, 5)]","[(5, 23)]"
schweet,"""variation of the popular ""sweet""",This is textbook schweet.,"This is a textbook case of variation of the popular ""sweet.",schweet,"a | case of variation of the popular ""sweet.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 11)]"
brewhaha,the act of a fight or skirmish most commonly with a group of people,I spent all day brewhaha.,I spent all day a fight or skirmish most commonly with a group of people.,brewhaha,a fight or skirmish most commonly with a group of people.,4,"[(4, 5)]","[(4, 15)]"
dependapotamus,"""a dependapotamus, or dependapotami (plural), is the spouse of a military service member, whose symbiotic relationship is parasitic",The dependapotamus was unbearable.,"The a dependapotamus, or dependapotami (plural), is the spouse of a military service member, whose symbiotic relationship is parasitic was unbearable.",dependapotamus,"a dependapotamus, or dependapotami (plural), is the spouse of a military service member, whose symbiotic relationship is parasitic",1,"[(1, 2)]","[(1, 19)]"
scilf,stephen colbert i'd like to fuck,Nobody warned me about scilf.,Nobody warned me about stephen colbert i'd like to fuck.,scilf,stephen colbert i'd like to fuck.,4,"[(4, 5)]","[(4, 10)]"
camnesia,'camnesia' is what occurs after one has done something on webcam one wishes he/she had not- especially beaver shots and self-violation,I can't handle this camnesia anymore.,I can't handle this situation of camnesia' is what occurs after one has done something on webcam one wishes he/she had not- especially beaver shots and self-violation anymore.,camnesia,situation of camnesia' is what occurs after one has done something on webcam one wishes he/she had not- especially beaver shots and self-violation,4,"[(4, 5)]","[(4, 27)]"
hizzle,"house, it rhymes with shizzle and nizzle",Have you dealt with hizzle before?,"Have you dealt with house, it rhymes with shizzle and nizzle before?",hizzle,"house, it rhymes with shizzle and nizzle",4,"[(4, 5)]","[(4, 11)]"
demiromantic,"""a type of grey-romantic who only experiences romantic attraction after developing an emotional connection beforehand",This is textbook demiromantic.,This is a textbook case of a type of grey-romantic who only experiences romantic attraction after developing an emotional connection beforehand.,demiromantic,a | case of a type of grey-romantic who only experiences romantic attraction after developing an emotional connection beforehand.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 21)]"
aktf,means always keep the faith,We've reached peak aktf.,We've reached peak means always keep the faith.,aktf,means always keep the faith.,3,"[(3, 4)]","[(3, 8)]"
stummy,"""the combination of ""stomach and ""tummy"" to make one conjunction ""stummy""""",The stummy was unbearable.,"The the combination of ""stomach and ""tummy"" to make one conjunction ""stummy was unbearable.",stummy,"the combination of ""stomach and ""tummy"" to make one conjunction ""stummy",1,"[(1, 2)]","[(1, 12)]"
jawesome,"(adjective, adverb, interjection) awesome",He always dresses jawesome.,"He always dresses (adjective, adverb, interjection) awesome.",jawesome,"(adjective, adverb, interjection) awesome.",3,"[(3, 4)]","[(3, 7)]"
amberdubien,"a clinically obese female (or male) that lurks in the shadows of alcohol-serving establishments who prays on innocent, grossly intoxicated persons",I get amberdubien around 3 PM.,"I get a clinically obese female (or male) that lurks in the shadows of alcohol-serving establishments who prays on innocent, grossly intoxicated persons around 3 PM.",amberdubien,"a clinically obese female (or male) that lurks in the shadows of alcohol-serving establishments who prays on innocent, grossly intoxicated persons",2,"[(2, 3)]","[(2, 23)]"
bazoons,gigantic boobs compared to balloons!,Have you dealt with bazoons before?,Have you dealt with gigantic boobs compared to balloons! before?,bazoons,gigantic boobs compared to balloons!,4,"[(4, 5)]","[(4, 9)]"
hosebeast,"noun (1): a woman who is ruthless, evil, and outright objectionable in both physical and mental presence",This is textbook hosebeast.,"This is a textbook case of noun (1): a woman who is ruthless, evil, and outright objectionable in both physical and mental presence.",hosebeast,"a | case of noun (1): a woman who is ruthless, evil, and outright objectionable in both physical and mental presence.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 23)]"
budussy,"the combined aroma of booty, dick, and pussy commonly associated with sexual activity",We've reached peak budussy.,"We've reached peak the combined aroma of booty, dick, and pussy commonly associated with sexual activity.",budussy,"the combined aroma of booty, dick, and pussy commonly associated with sexual activity.",3,"[(3, 4)]","[(3, 16)]"
gilipollas,spanish for asshole (as stated above),The gilipollas was unbearable.,The spanish for asshole (as stated above) was unbearable.,gilipollas,spanish for asshole (as stated above),1,"[(1, 2)]","[(1, 7)]"
ketchupcum,when a squeezable ketchup bottle lid is popped and the juice inside spews all over the place,We experienced major ketchupcum today.,We experienced squeezable ketchup bottle lid is popped and the juice inside spews all over the place today.,ketchupcum,squeezable ketchup bottle lid is popped and the juice inside spews all over the place,3,"[(2, 4)]","[(2, 17)]"
emosexual,"one who is only attracted to emos, and only emos",I can't handle this emosexual anymore.,"I can't handle this situation of is only attracted to emos, and only emos anymore.",emosexual,"situation of is only attracted to emos, and only emos",4,"[(4, 5)]","[(4, 14)]"
immzilla,rock-god awakened from undersea slumber by nuclear testing,Have you dealt with immzilla before?,Have you dealt with rock-god awakened from undersea slumber by nuclear testing before?,immzilla,rock-god awakened from undersea slumber by nuclear testing,4,"[(4, 5)]","[(4, 12)]"
briggsymunting,the act of trawling arty pubs for munters,The art of briggsymunting takes practice.,The art of trawling arty pubs for munters takes practice.,briggsymunting,trawling arty pubs for munters,3,"[(3, 4)]","[(3, 8)]"
glurge,"""word used to describe the syrupy sweet e-mails that are mass-mailed to unwilling participants",We've reached peak glurge.,We've reached peak word used to describe the syrupy sweet e-mails that are mass-mailed to unwilling participants.,glurge,word used to describe the syrupy sweet e-mails that are mass-mailed to unwilling participants.,3,"[(3, 4)]","[(3, 17)]"
jagon,an alien sex organ,The jagon was unbearable.,The an alien sex organ was unbearable.,jagon,an alien sex organ,1,"[(1, 2)]","[(1, 5)]"
bebot,"""bebot, a tagalog word from the filipino culture meaning ""chick"", ""babe"", or ""boo""",Nobody warned me about bebot.,"Nobody warned me about bebot, a tagalog word from the filipino culture meaning ""chick"", ""babe"", or ""boo.",bebot,"bebot, a tagalog word from the filipino culture meaning ""chick"", ""babe"", or ""boo.",4,"[(4, 5)]","[(4, 17)]"
bidniss,illegitimate business,I can't handle this bidniss anymore.,I can't handle this situation of illegitimate business anymore.,bidniss,situation of illegitimate business,4,"[(4, 5)]","[(4, 8)]"
adoptomonster,"""an adoptomonster is a person who adopts a child but should not have been allowed to do so",Don't be a adoptomonster.,Don't be someone who an adoptomonster is a person who adopts a child but should not have been allowed to do so.,adoptomonster,someone who an adoptomonster is | person who adopts a child but should not have been allowed to do so.,3,"[(2, 2), (3, 4)]","[(2, 7), (8, 22)]"
crickey,an explicitive to express ones surprise or happiness,This is textbook crickey.,This is a textbook case of an explicitive to express ones surprise or happiness.,crickey,a | case of an explicitive to express ones surprise or happiness.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 14)]"
billboardbook,the future of facebook as your news feed becomes more and more ads from companies and people selling things,We've reached peak billboardbook.,We've reached peak the future of facebook as your news feed becomes more and more ads from companies and people selling things.,billboardbook,the future of facebook as your news feed becomes more and more ads from companies and people selling things.,3,"[(3, 4)]","[(3, 22)]"
canibisism,"""a religion enitely devoted to smoking marijuana, having a good time and praying to the smoking gods",The canibisism was unbearable.,"The a religion enitely devoted to smoking marijuana, having a good time and praying to the smoking gods was unbearable.",canibisism,"a religion enitely devoted to smoking marijuana, having a good time and praying to the smoking gods",1,"[(1, 2)]","[(1, 18)]"
chawa,in sports it is a great compliment to be deemed a chawa,Nobody warned me about chawa.,Nobody warned me about in sports it is a great compliment to be deemed a chawa.,chawa,in sports it is a great compliment to be deemed a,4,"[(4, 4)]","[(4, 15)]"
cunnilumpkin,a variation of the [blumpkin] where a woman receives [cunnilingus] while she is defocating,I can't handle this cunnilumpkin anymore.,I can't handle this situation of a variation of the [blumpkin] where a woman receives [cunnilingus] while she is defocating anymore.,cunnilumpkin,situation of a variation of the [blumpkin] where a woman receives [cunnilingus] while she is defocating,4,"[(4, 5)]","[(4, 20)]"
rotflmfao,"rolling on the floor laughing my fucking ass off usually used in internet interaction, when someone says something funny",Have you dealt with rotflmfao before?,"Have you dealt with rolling on the floor laughing my fucking ass off usually used in internet interaction, when someone says something funny before?",rotflmfao,"rolling on the floor laughing my fucking ass off usually used in internet interaction, when someone says something funny",4,"[(4, 5)]","[(4, 23)]"
bloodclat,"this is a severe profanity in jamaican patois, thought to originate from the supposed unsantity of the female period (blood clot)",This is textbook bloodclat.,"This is a textbook case of this is a severe profanity in jamaican patois, thought to originate from the supposed unsantity of the female period (blood clot).",bloodclat,"a | case of this is a severe profanity in jamaican patois, thought to originate from the supposed unsantity of the female period (blood clot).",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 27)]"
chatatonic,one is said to have become 'chatatonic' after over-exposure to chat and especially chat rooms,We've reached peak chatatonic.,We've reached peak one is said to have become 'chatatonic' after over-exposure to chat and especially chat rooms.,chatatonic,one is said to have become 'chatatonic' after over-exposure to chat and especially chat rooms.,3,"[(3, 4)]","[(3, 18)]"
hodad,"50's term for a greaser, someone who hung out at the beach, but definitely not a surfer",My coworker is such a hodad.,"My coworker is someone who 50's term for a greaser, someone who hung out at the beach, but definitely not a surfer.",hodad,"someone who 50's term for | greaser, someone who hung out at the beach, but definitely not a surfer.",5,"[(3, 4), (5, 6)]","[(3, 8), (9, 22)]"
churr,is used as either as a congratulatory remark or sometimes substituted for thank you,Nobody warned me about churr.,Nobody warned me about is used as either as a congratulatory remark or sometimes substituted for thank you.,churr,is used as either as a congratulatory remark or sometimes substituted for thank you.,4,"[(4, 5)]","[(4, 18)]"
bageena,female genitalia,I can't handle this bageena anymore.,I can't handle this situation of female genitalia anymore.,bageena,situation of female genitalia,4,"[(4, 5)]","[(4, 8)]"
corpogarchy,"""similar to ""oligarchy"" except with corporatins as the ruling class",Have you dealt with corpogarchy before?,"Have you dealt with similar to ""oligarchy"" except with corporatins as the ruling class before?",corpogarchy,"similar to ""oligarchy"" except with corporatins as the ruling class",4,"[(4, 5)]","[(4, 14)]"
calfo,"to be ridiculously professional and professionally ridiculous, simultaneously",This is textbook calfo.,"This is a textbook case of to be ridiculously professional and professionally ridiculous, simultaneously.",calfo,"a | case of to be ridiculously professional and professionally ridiculous, simultaneously.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 14)]"
gark,the word is a universal word that can be substituted to mean anything you want it to be whether you wan tto use it as a noun verb adj etc,We've reached peak gark.,We've reached peak the word is a universal word that can be substituted to mean anything you want it to be whether you wan tto use it as a noun verb adj etc.,gark,the word is a universal word that can be substituted to mean anything you want it to be whether you wan tto use it as a noun verb adj etc.,3,"[(3, 4)]","[(3, 33)]"
artlete,artist/ athlete: a person who is equally successful in their artistic endeavors as they are in their athletic performances,My coworker is such a artlete.,My coworker is someone who artist/ athlete: a person who is equally successful in their artistic endeavors as they are in their athletic performances.,artlete,someone who artist/ athlete: | person who is equally successful in their artistic endeavors as they are in their athletic performances.,5,"[(3, 4), (5, 6)]","[(3, 7), (8, 24)]"
calltech,"""the most ass outsourcing company in the world",Nobody warned me about calltech.,Nobody warned me about the most ass outsourcing company in the world.,calltech,the most ass outsourcing company in the world.,4,"[(4, 5)]","[(4, 12)]"
beatch,slang term for a bitch,I can't handle this beatch anymore.,I can't handle this situation of slang term for a bitch anymore.,beatch,situation of slang term for a bitch,4,"[(4, 5)]","[(4, 11)]"
bumminham,"""it is how the people down around alabama pronounce ""birmingham""",Have you dealt with bumminham before?,"Have you dealt with it is how the people down around alabama pronounce ""birmingham before?",bumminham,"it is how the people down around alabama pronounce ""birmingham",4,"[(4, 5)]","[(4, 14)]"
hoyay,"homoeroticism yay! 1-homoerotic subtext in film, books or movies",The show is full of hoyay moments.,The show is full of homoerotic subtext moments.,hoyay,homoerotic subtext,5,"[(5, 6)]","[(5, 7)]"
baboso,stupid person,We've reached peak baboso.,We've reached peak stupid person.,baboso,stupid person.,3,"[(3, 4)]","[(3, 5)]"
autodocumentism,autodocumentism (in dutch: autodocumentisme) is a religious belief worshipping two gods (duotheism) founded in the netherlands by the people of flabber,The autodocumentism was unbearable.,The autodocumentism (in dutch: autodocumentisme) is a religious belief worshipping two gods (duotheism) founded in the netherlands by the people of flabber was unbearable.,autodocumentism,(in dutch: autodocumentisme) is a religious belief worshipping two gods (duotheism) founded in the netherlands by the people of flabber,1,"[(2, 2)]","[(2, 22)]"
shiest,a person who will take advantage and cheat in some situations,Don't be a shiest.,Don't be someone who will take advantage and cheat in some situations.,shiest,someone who will take advantage and cheat in some situations.,3,"[(2, 4)]","[(2, 12)]"
fapalicious,"the definition of something or someone so irresistible, that you cannot help but feel the urge to masturbate",I can't handle this fapalicious anymore.,"I can't handle this situation of the definition of something or someone so irresistible, that you cannot help but feel the urge to masturbate anymore.",fapalicious,"situation of the definition of something or someone so irresistible, that you cannot help but feel the urge to masturbate",4,"[(4, 5)]","[(4, 24)]"
hotsex,something that is so hot and steamy,Have you dealt with hotsex before?,Have you dealt with something that is so hot and steamy before?,hotsex,something that is so hot and steamy,4,"[(4, 5)]","[(4, 11)]"
iawtp,acronym: i agree with this post,This is textbook iawtp.,This is a textbook case of acronym: i agree with this post.,iawtp,a | case of acronym: i agree with this post.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
dumbfuckistan,"""the lay term for america since the ""re-election"" of george w",We've reached peak dumbfuckistan.,"We've reached peak the lay term for america since the ""re-election"" of george w.",dumbfuckistan,"the lay term for america since the ""re-election"" of george w.",3,"[(3, 4)]","[(3, 14)]"
shiggles,"""-a simplified version of the phrase ""shits and giggles"" -a synonym for the phrase ""for the hell of it""""",The shiggles was unbearable.,"The -a simplified version of the phrase ""shits and giggles"" -a synonym for the phrase ""for the hell of it was unbearable.",shiggles,"-a simplified version of the phrase ""shits and giggles"" -a synonym for the phrase ""for the hell of it",1,"[(1, 2)]","[(1, 20)]"
boynnaise,an extremely creepy and nambla friendly way of describing sperm,Nobody warned me about boynnaise.,Nobody warned me about an extremely creepy and nambla friendly way of describing sperm.,boynnaise,an extremely creepy and nambla friendly way of describing sperm.,4,"[(4, 5)]","[(4, 14)]"
bullpucky,a polite way to dismiss or reject something without having to say bullshit,I can't handle this bullpucky anymore.,I can't handle this situation of a polite way to dismiss or reject something without having to say bullshit anymore.,bullpucky,situation of a polite way to dismiss or reject something without having to say bullshit,4,"[(4, 5)]","[(4, 19)]"
fugnacious,to be extremely rude and impolite,Have you dealt with fugnacious before?,Have you dealt with to be extremely rude and impolite before?,fugnacious,to be extremely rude and impolite,4,"[(4, 5)]","[(4, 10)]"
dictoria,a short asian girl who is judgemental,This is textbook dictoria.,This is a textbook case of a short asian girl who is judgemental.,dictoria,a | case of a short asian girl who is judgemental.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 13)]"
bastich,(noun) an insult that is apparently a combination of the words [bastard] and [bitch] - applying on both sexes,We've reached peak bastich.,We've reached peak (noun) an insult that is apparently a combination of the words [bastard] and [bitch] - applying on both sexes.,bastich,(noun) an insult that is apparently a combination of the words [bastard] and [bitch] - applying on both sexes.,3,"[(3, 4)]","[(3, 22)]"
fangboner,a road near toledo and sandusky ohio,The fangboner was unbearable.,The a road near toledo and sandusky ohio was unbearable.,fangboner,a road near toledo and sandusky ohio,1,"[(1, 2)]","[(1, 8)]"
fistacuffs,the act of fighting with bare fists,The art of fistacuffs takes practice.,The art of fighting with bare fists takes practice.,fistacuffs,fighting with bare fists,3,"[(3, 4)]","[(3, 7)]"
fularious,fucking hilarious!,I can't handle this fularious anymore.,I can't handle this situation of fucking hilarious! anymore.,fularious,situation of fucking hilarious!,4,"[(4, 5)]","[(4, 8)]"
queaf,"a suculent, hurricane-like blast hailing from the vaginal area",Have you dealt with queaf before?,"Have you dealt with a suculent, hurricane-like blast hailing from the vaginal area before?",queaf,"a suculent, hurricane-like blast hailing from the vaginal area",4,"[(4, 5)]","[(4, 13)]"
assfuckitis,chronic state of being an [assfuck],This is textbook assfuckitis.,This is a textbook case of chronic state of being an [assfuck].,assfuckitis,a | case of chronic state of being an [assfuck].,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
mudduck,adjective to describe an ugly female,We've reached peak mudduck.,We've reached peak adjective to describe an ugly female.,mudduck,adjective to describe an ugly female.,3,"[(3, 4)]","[(3, 9)]"
cameledgie,a cameledgie is a compound word describing the instance of a woman displaying both a [[camel toe]] and a [[wedgie]],The cameledgie was unbearable.,The a cameledgie is a compound word describing the instance of a woman displaying both a [[camel toe]] and a [[wedgie]] was unbearable.,cameledgie,a | is a compound word describing the instance of a woman displaying both a [[camel toe]] and a [[wedgie]],1,"[(1, 1), (2, 2)]","[(1, 2), (3, 21)]"
cyph,the process of smoking a blunt or something passable between two or more people,Nobody warned me about cyph.,Nobody warned me about the process of smoking a blunt or something passable between two or more people.,cyph,the process of smoking a blunt or something passable between two or more people.,4,"[(4, 5)]","[(4, 18)]"
cohones,"""spanish slang for testicles, balls, nuts",I can't handle this cohones anymore.,"I can't handle this situation of spanish slang for testicles, balls, nuts anymore.",cohones,"situation of spanish slang for testicles, balls, nuts",4,"[(4, 5)]","[(4, 12)]"
azimiz,"""slang for ""as i am""",Have you dealt with azimiz before?,"Have you dealt with slang for ""as i am before?",azimiz,"slang for ""as i am",4,"[(4, 5)]","[(4, 9)]"
blivit,10 pounds of shit in a 5 pound bag,This is textbook blivit.,This is a textbook case of 10 pounds of shit in a 5 pound bag.,blivit,a | case of 10 pounds of shit in a 5 pound bag.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 15)]"
chenzel,"""a mixed name that represents the ""relationship"" between idina menzel and kristin chenoweth",We've reached peak chenzel.,"We've reached peak a mixed name that represents the ""relationship"" between idina menzel and kristin chenoweth.",chenzel,"a mixed name that represents the ""relationship"" between idina menzel and kristin chenoweth.",3,"[(3, 4)]","[(3, 16)]"
adamaris,a very beautiful girl who may be hurt so many times and will get right back up,The adamaris was unbearable.,The a very beautiful girl who may be hurt so many times and will get right back up was unbearable.,adamaris,a very beautiful girl who may be hurt so many times and will get right back up,1,"[(1, 2)]","[(1, 18)]"
dbic,dumb bitch in charge,Nobody warned me about dbic.,Nobody warned me about dumb bitch in charge.,dbic,dumb bitch in charge.,4,"[(4, 5)]","[(4, 8)]"
duggy,someone who is very cool and well-dressed,My coworker is such a duggy.,My coworker is someone who is very cool and well-dressed.,duggy,someone who is very cool and well-dressed.,5,"[(3, 6)]","[(3, 10)]"
blurst,"a substitute for the word worse, only used in extreme cases, and only used by 1000 monkeys typing at 1000 typerwriters",Have you dealt with blurst before?,"Have you dealt with a substitute for the word worse, only used in extreme cases, and only used by 1000 monkeys typing at 1000 typerwriters before?",blurst,"a substitute for the word worse, only used in extreme cases, and only used by 1000 monkeys typing at 1000 typerwriters",4,"[(4, 5)]","[(4, 25)]"
doucheland,german name for what we call germany,This is textbook doucheland.,This is a textbook case of german name for what we call germany.,doucheland,a | case of german name for what we call germany.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 13)]"
gazongas,"boobies, breasteses, tits",We've reached peak gazongas.,"We've reached peak boobies, breasteses, tits.",gazongas,"boobies, breasteses, tits.",3,"[(3, 4)]","[(3, 6)]"
arohan,a very cute boy who likes to sing and dance,The arohan was unbearable.,The a very cute boy who likes to sing and dance was unbearable.,arohan,a very cute boy who likes to sing and dance,1,"[(1, 2)]","[(1, 11)]"
bishonen,japanese word literally meaning 'pretty boy',Nobody warned me about bishonen.,Nobody warned me about japanese word literally meaning 'pretty boy.,bishonen,japanese word literally meaning 'pretty boy.,4,"[(4, 5)]","[(4, 10)]"
annama,someone who is soooo [cool] they are named specially,My coworker is such a annama.,My coworker is someone who is soooo [cool] they are named specially.,annama,someone who is soooo [cool] they are named specially.,5,"[(3, 6)]","[(3, 12)]"
gitch,mens or womens underwear,Have you dealt with gitch before?,Have you dealt with mens or womens underwear before?,gitch,mens or womens underwear,4,"[(4, 5)]","[(4, 8)]"
kooch,"a pussy, female genitalia",This is textbook kooch.,"This is a textbook case of a pussy, female genitalia.",kooch,"a | case of a pussy, female genitalia.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 10)]"
bullroar,basically a substitute for bullshit,We've reached peak bullroar.,We've reached peak basically a substitute for bullshit.,bullroar,basically a substitute for bullshit.,3,"[(3, 4)]","[(3, 8)]"
chapina,a fine ass hot lady from the best country in central america:guatemala its what they call girls from guatemala,The chapina was unbearable.,The a fine ass hot lady from the best country in central america:guatemala its what they call girls from guatemala was unbearable.,chapina,a fine ass hot lady from the best country in central america:guatemala its what they call girls from guatemala,1,"[(1, 2)]","[(1, 20)]"
gooz,"""persian for ""a fart"", especially a loud one",Nobody warned me about gooz.,"Nobody warned me about persian for ""a fart"", especially a loud one.",gooz,"persian for ""a fart"", especially a loud one.",4,"[(4, 5)]","[(4, 12)]"
bogoho,an abbreviation for buy one get one half off,I can't handle this bogoho anymore.,I can't handle this situation of an abbreviation for buy one get one half off anymore.,bogoho,situation of an abbreviation for buy one get one half off,4,"[(4, 5)]","[(4, 15)]"
breadfish,"the breadfish, part of a looping toon on weebls-stuff",Have you dealt with breadfish before?,"Have you dealt with the breadfish, part of a looping toon on weebls-stuff before?",breadfish,"the breadfish, part of a looping toon on weebls-stuff",4,"[(4, 5)]","[(4, 13)]"
claymate,clay aiken fans,This is textbook claymate.,This is a textbook case of clay aiken fans.,claymate,a | case of clay aiken fans.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 9)]"
babyj,"this is a popular, underage, girl who's victimized countless times by [r@ygold] using popular p2p filesharing programs and newsgroups to spread [child porn]",We've reached peak babyj.,"We've reached peak this is a popular, underage, girl who's victimized countless times by [r@ygold] using popular p2p filesharing programs and newsgroups to spread [child porn].",babyj,"this is a popular, underage, girl who's victimized countless times by [r@ygold] using popular p2p filesharing programs and newsgroups to spread [child porn].",3,"[(3, 4)]","[(3, 26)]"
croakies,"name for the sunglasses strap first used by contractors, fishermen, golfers, etc, then made popular on college campuses in the south by fraternity guys",The croakies was unbearable.,"The name for the sunglasses strap first used by contractors, fishermen, golfers, etc, then made popular on college campuses in the south by fraternity guys was unbearable.",croakies,"name for the sunglasses strap first used by contractors, fishermen, golfers, etc, then made popular on college campuses in the south by fraternity guys",1,"[(1, 2)]","[(1, 25)]"
cockmaster,one who is proficient in servicing (others') penises,Nobody warned me about cockmaster.,Nobody warned me about is proficient in servicing (others') penises.,cockmaster,is proficient in servicing (others') penises.,4,"[(4, 5)]","[(4, 10)]"
hardparking,"the act of owning a japanese car riddled with roll cages/high-end race suspension/expensive forged wheels, and never taking it to the track",I spent all day hardparking.,"I spent all day owning a japanese car riddled with roll cages/high-end race suspension/expensive forged wheels, and never taking it to the track.",hardparking,"owning a japanese car riddled with roll cages/high-end race suspension/expensive forged wheels, and never taking it to the track.",4,"[(4, 5)]","[(4, 23)]"
avpm,"a very potter musical, one of the best musical parody's of harry potter written",Have you dealt with avpm before?,"Have you dealt with a very potter musical, one of the best musical parody's of harry potter written before?",avpm,"a very potter musical, one of the best musical parody's of harry potter written",4,"[(4, 5)]","[(4, 18)]"
forplay,"foreplay is the fun, flirty, arousing goings on right before actually having sex",This is textbook forplay.,"This is a textbook case of foreplay is the fun, flirty, arousing goings on right before actually having sex.",forplay,"a | case of foreplay is the fun, flirty, arousing goings on right before actually having sex.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 19)]"
adlay,"idiots who come to raves sporting nautica shirts, polo shirts and white caps",We've reached peak adlay.,"We've reached peak idiots who come to raves sporting nautica shirts, polo shirts and white caps.",adlay,"idiots who come to raves sporting nautica shirts, polo shirts and white caps.",3,"[(3, 4)]","[(3, 16)]"
shrim,"""shrim is the name for a specialized alternative healing solution first practiced and perfected by dr",The shrim was unbearable.,The shrim is the name for a specialized alternative healing solution first practiced and perfected by dr was unbearable.,shrim,is the name for a specialized alternative healing solution first practiced and perfected by dr,1,"[(2, 2)]","[(2, 17)]"
cumberbatched,pertaining to a certain mr,Nobody warned me about cumberbatched.,Nobody warned me about pertaining to a certain mr.,cumberbatched,pertaining to a certain mr.,4,"[(4, 5)]","[(4, 9)]"
dicktation,"""a ""gang"" symbol used in the online series ""summer heights high""",I get dicktation around 3 PM.,"I get a ""gang"" symbol used in the online series ""summer heights high around 3 PM.",dicktation,"a ""gang"" symbol used in the online series ""summer heights high",2,"[(2, 3)]","[(2, 13)]"
bishie,short for bishounen which aproximately means beautiful boy,Have you dealt with bishie before?,Have you dealt with short for bishounen which aproximately means beautiful boy before?,bishie,short for bishounen which aproximately means beautiful boy,4,"[(4, 5)]","[(4, 12)]"
ricockulous,something that is extremely ridiculous or far-fetched,This is textbook ricockulous.,This is a textbook case of something that is extremely ridiculous or far-fetched.,ricockulous,a | case of something that is extremely ridiculous or far-fetched.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 13)]"
copastetic,"everything is cool, everything is ok",You look copastetic tonight!,"You look everything is cool, everything is ok tonight!",copastetic,"everything is cool, everything is ok",2,"[(2, 3)]","[(2, 8)]"
burrr,burrr,The burrr was unbearable.,The burrr was unbearable.,burrr,,1,[],[]
