normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"Part of the neighborhood has been annexed to Santa Clara County , while the rest consists of unincorporated areas of San Jose .","Part of the neighborhood has been annexed to Santa Clara County , while the rest consists of unincorporated areas of San Jose .",",",",","[(11, 12)]","[(11, 12)]",0
"The work on this manuscript was started in 1426 at the order of Baysonghor Mirza , the Timurid prince , and was completed on 1430 , four years later .","The work on this manuscript was started in 1426 at the order of Baysonghor Mirza , the Timurid prince , and was completed on 1430 , four years later .",",",",","[(15, 16)]","[(15, 16)]",0
"Today ( from 2013 to 2017 ) the mayor is Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1st .","Today ( from 2013 to 2017 ) the mayor is Fernando Nogueira , elected by the PenCe ( independent movement ) . The municipal holiday is October 1st .",by,by,"[(14, 15)]","[(14, 15)]",0
They played in the 2015 China Amateur Football League won the 3rd place and finished the promotion until 2016 China League Two .,They played in the 2015 China Amateur Football League won the 3rd place and finished the promotion until 2016 China League Two .,3rd,3rd,"[(11, 12)]","[(11, 12)]",0
"Defeated Ruxandra Dragomir , 6 -- 2 , 6 -- 3","Defeated Ruxandra Dragomir , 6 -- 2 , 6 -- 3",--,--,"[(5, 6)]","[(5, 6)]",0
"Crocker moved from Natchez , Mississippi to Vidalia , the headquarters of the Concordia Parish , and crossed the lower Ouachita in the section called Black River .","Crocker moved from Natchez , Mississippi to Vidalia , the headquarters of the Concordia Parish , and crossed the lower Ouachita in the section called Black River .",Parish,Parish,"[(14, 15)]","[(14, 15)]",0
Nar-Dos developed the Armenian critical trend of psychological realism displaying refined Armenian language .,Nar-Dos developed the Armenian critical trend of psychological realism displaying refined Armenian language .,psychological,psychological,"[(7, 8)]","[(7, 8)]",0
She was married to Edmund Ashfield and Richard Glanville after his death .,She was married to Edmund Ashfield and Richard Glanville after his death .,and,and,"[(6, 7)]","[(6, 7)]",0
The definition of Kali in Ayyavazhi is focused as the materialized life .,The definition of Kali in Ayyavazhi is focused as the materialized life .,is,is,"[(6, 7)]","[(6, 7)]",0
"A Kepler triangle is a right-angled triangle with edge lengths in geometric progression , whereby the ratio of the edges of a Kepler triangle is bound to the golden ratio .","A Kepler triangle is a right-angled triangle with edge lengths in geometric progression , whereby the ratio of the edges of a Kepler triangle is bound to the golden ratio .",the,the,"[(15, 16)]","[(15, 16)]",0
"During the five days of the journey he brought with him some books about Elba , which he studied from Fontainebleau .","During the five days of the journey he brought with him some books about Elba , which he studied from Fontainebleau .",some,some,"[(11, 12)]","[(11, 12)]",0
"On Sunday there is a free street market in the centre of the village , near the small car park .","On Sunday there is a free street market in the centre of the village , near the small car park .",centre,centre,"[(10, 11)]","[(10, 11)]",0
"Two days later , at their annual game , Army beat Navy , 6-4 .","Two days later , at their annual game , Army beat Navy , 6-4 .",game,game,"[(7, 8)]","[(7, 8)]",0
"In the American series , Benjamin was Michael Evans 's double .","In the American series , Benjamin was Michael Evans 's double .",was,was,"[(6, 7)]","[(6, 7)]",0
"Due to the results obtained in the previous round , Kevin Gleason received + 30 kg , Gianni Morbidelli + 20 kg and Pepe Oriola + 10 kg .","Due to the results obtained in the previous round , Kevin Gleason received + 30 kg , Gianni Morbidelli + 20 kg and Pepe Oriola + 10 kg .",30,30,"[(14, 15)]","[(14, 15)]",0
"The functional structure of the Suhrkamp publishing house is located in the Lindenstraße , the literary reputation of the residence corresponds in reverse to its architectural importance .","The functional structure of the Suhrkamp publishing house is located in the Lindenstraße , the literary reputation of the residence corresponds in reverse to its architectural importance .",the,the,"[(14, 15)]","[(14, 15)]",0
"According to Hernandez , TNA wanted to create a more Mexican stable , but Hernandez refused to use stereotypical jargon , TNA gave the promos to Anarquia .","According to Hernandez , TNA wanted to create a more Mexican stable , but Hernandez refused to use stereotypical jargon , TNA gave the promos to Anarquia .",Hernandez,Hernandez,"[(14, 15)]","[(14, 15)]",0
"The elevation of the island has , and it is a coastline of length .","The elevation of the island has , and it is a coastline of length .",and,and,"[(7, 8)]","[(7, 8)]",0
Helena Township is a civil community of Antrim County in the U.S. state of Michigan .,Helena Township is a civil community of Antrim County in the U.S. state of Michigan .,County,County,"[(8, 9)]","[(8, 9)]",0
"Deaton was born in Clayton , Oklahoma , and his family lived for two years in a tent on the plain of New Mexico .","Deaton was born in Clayton , Oklahoma , and his family lived for two years in a tent on the plain of New Mexico .",for,for,"[(12, 13)]","[(12, 13)]",0
"Also , use the codice 13 attribute to mark the codice 6 elements as non-translatable .","Also , use the codice 13 attribute to mark the codice 6 elements as non-translatable .",mark,mark,"[(8, 9)]","[(8, 9)]",0
This prayer and the following are said in a concelebrated fair by individual concelebrants .,This prayer and the following are said in a concelebrated fair by individual concelebrants .,in,in,"[(7, 8)]","[(7, 8)]",0
"Locus is a racing game developed by GT Interactive Software Corp and published by Zombie LLC , North America .","Locus is a racing game developed by GT Interactive Software Corp and published by Zombie LLC , North America .",Corp,Corp,"[(10, 11)]","[(10, 11)]",0
Sparrow convinces Turner that Elizabeth can be freed with the magic compass to find the chest .,Sparrow convinces Turner that Elizabeth can be freed with the magic compass to find the chest .,with,with,"[(8, 9)]","[(8, 9)]",0
"La Unión is a city in Ezeiza Partido , in the Greater Buenos Aires , Argentina .","La Unión is a city in Ezeiza Partido , in the Greater Buenos Aires , Argentina .",",",",","[(8, 9)]","[(8, 9)]",0
"Independent member John Archibald Maharg served as leader of the opposition in 1923 and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .","Independent member John Archibald Maharg served as leader of the opposition in 1923 and Harris Turner , also independent , served as opposition leader in 1924 and 1925 .",Harris,Harris,"[(14, 15)]","[(14, 15)]",0
The joint management of the memorial by the United States Navy and the National Park Service was founded on 9 September 1980 .,The joint management of the memorial by the United States Navy and the National Park Service was founded on 9 September 1980 .,and,and,"[(11, 12)]","[(11, 12)]",0
"In the same year , technologyreview.com won second place at MPA Digital Awards for the best business or news website and third place for the best online video or the best video series .","In the same year , technologyreview.com won second place at MPA Digital Awards for the best business or news website and third place for the best online video or the best video series .",or,or,"[(17, 18)]","[(17, 18)]",0
"Pérez also practiced with Telemundo , where she anchored and produced an entertainment segment for Telemundo Internacional .","Pérez also practiced with Telemundo , where she anchored and produced an entertainment segment for Telemundo Internacional .",and,and,"[(9, 10)]","[(9, 10)]",0
"These ancient rites are rarely performed in contemporary Sri Lanka , but the conserved songs are still performed by folk musicians .","These ancient rites are rarely performed in contemporary Sri Lanka , but the conserved songs are still performed by folk musicians .",but,but,"[(11, 12)]","[(11, 12)]",0
"After extensive travels through Asia and a piece of Africa and Europe , the couple settled in New York City , New York .","After extensive travels through Asia and a piece of Africa and Europe , the couple settled in New York City , New York .",",",",","[(12, 13)]","[(12, 13)]",0
The `` Friends of the School of Art and Design of Putney '' promotes the school and protects the interests of the current students .,The `` Friends of the School of Art and Design of Putney '' promotes the school and protects the interests of the current students .,'','',"[(12, 13)]","[(12, 13)]",0
Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .,Mouhoun is one of the 45 provinces of Boucle du Mouhoun Region and is in Burkina Faso . The capital of Mouhoun is Dédougou .,and,and,"[(12, 13)]","[(12, 13)]",0
"Abel Aganbegyan ( ; b . 1972 , Novosibirsk ) is a Russian economist , the President of Micex . Son of the famous Soviet economist Ruben Aganbegyan .","Abel Aganbegyan ( ; b . 1972 , Novosibirsk ) is a Russian economist , the President of Micex . Son of the famous Soviet economist Ruben Aganbegyan .",",",",","[(14, 15)]","[(14, 15)]",0
Birleffi was of Protestant ethnicity and Roman Catholic in a predominantly Italian state .,Birleffi was of Protestant ethnicity and Roman Catholic in a predominantly Italian state .,Catholic,Catholic,"[(7, 8)]","[(7, 8)]",0
"It is found on quartzite hills in the Moora region of Western Australia near Wheatbelt , where it grows in sandy soils often with gravel .","It is found on quartzite hills in the Moora region of Western Australia near Wheatbelt , where it grows in sandy soils often with gravel .",near,near,"[(13, 14)]","[(13, 14)]",0
"Another Marston company product line started in 1931 , with marine outboard engines first marketed as Marston Seagull , later known as British Seagull .","Another Marston company product line started in 1931 , with marine outboard engines first marketed as Marston Seagull , later known as British Seagull .",engines,engines,"[(12, 13)]","[(12, 13)]",0
The village has three schools -- a primary school and two secondary schools .,The village has three schools -- a primary school and two secondary schools .,primary,primary,"[(7, 8)]","[(7, 8)]",0
"In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .","In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .",Argentina,Argentina,"[(8, 9)]","[(8, 9)]",0
"Treatment included progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .","Treatment included progressive muscle relaxation , cognitive exposure therapy with interoceptive restructuring , or a combination of both .",with,with,"[(9, 10)]","[(9, 10)]",0
The Charge Spear is a large spear that can be `` charged to form a sharpened organic blade that can be used to strike enemies .,The Charge Spear is a large spear that can be `` charged to form a sharpened organic blade that can be used to strike enemies .,form,form,"[(13, 14)]","[(13, 14)]",0
"Impressive essays by Dawkins ... , Marilynne Robinson and H. Allen Orr , set out to tell Terry Eagleton how false he is .","Impressive essays by Dawkins ... , Marilynne Robinson and H. Allen Orr , set out to tell Terry Eagleton how false he is .",",",",","[(12, 13)]","[(12, 13)]",0
"It is located adjacent to the hamlet of Hickstead , to the west of Burgess Hill and next to the main A23 road from London to Brighton .","It is located adjacent to the hamlet of Hickstead , to the west of Burgess Hill and next to the main A23 road from London to Brighton .",Burgess,Burgess,"[(14, 15)]","[(14, 15)]",0
"In `` Home Alone '' , Kate McCallister traveled through Dallas/Fort Worth from Paris on her way to Chicago .","In `` Home Alone '' , Kate McCallister traveled through Dallas/Fort Worth from Paris on her way to Chicago .",Dallas/Fort,Dallas/Fort,"[(10, 11)]","[(10, 11)]",0
This allowed Capcom to translate the basic expressions from Lee and use them Wayne in game .,This allowed Capcom to translate the basic expressions from Lee and use them Wayne in game .,from,from,"[(8, 9)]","[(8, 9)]",0
"Born in Seville , Hidalgo played for Badajoz and Celta de Vigo .","Born in Seville , Hidalgo played for Badajoz and Celta de Vigo .",for,for,"[(6, 7)]","[(6, 7)]",0
"Hardin Independent School District is a public school district based in Hardin , Texas ( USA ) .","Hardin Independent School District is a public school district based in Hardin , Texas ( USA ) .",based,based,"[(9, 10)]","[(9, 10)]",0
The Bazga River is a tributary of the Bohotin River in Romania .,The Bazga River is a tributary of the Bohotin River in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
"This quote is often described as “ Philadelphia in the East , Pittsburgh in the West , and Alabama in the Middle . ”","This quote is often described as “ Philadelphia in the East , Pittsburgh in the West , and Alabama in the Middle . ”",Pittsburgh,Pittsburgh,"[(12, 13)]","[(12, 13)]",0
"In this way , it was possible to combine literally dozens of separate tracks and record them into finished recordings of great complexity .","In this way , it was possible to combine literally dozens of separate tracks and record them into finished recordings of great complexity .",separate,separate,"[(12, 13)]","[(12, 13)]",0
The western extension of the congestion charge in London was withdrawn in 2007 ( and introduced on 1 January 2011 ) .,The western extension of the congestion charge in London was withdrawn in 2007 ( and introduced on 1 January 2011 ) .,in,in,"[(11, 12)]","[(11, 12)]",0
"The conclusions are that we are all perfect spiritual ideas of the one divine Mind , and manifest Spirit , not a material body .","The conclusions are that we are all perfect spiritual ideas of the one divine Mind , and manifest Spirit , not a material body .",one,one,"[(12, 13)]","[(12, 13)]",0
"Lea Lea Antonoplis and Cammy MacGregor won 6 -- 3 , 3 -- 6 , 7 -- 5 against Ann Henricksson and Julie Richardson in the finals .","Lea Lea Antonoplis and Cammy MacGregor won 6 -- 3 , 3 -- 6 , 7 -- 5 against Ann Henricksson and Julie Richardson in the finals .",",",",","[(14, 15)]","[(14, 15)]",0
"Taizhou Station ( Zhejiang province ) is a train station of Yongtaiwen Railway in Taizhou , Zhejiang , People 's Republic of China .","Taizhou Station ( Zhejiang province ) is a train station of Yongtaiwen Railway in Taizhou , Zhejiang , People 's Republic of China .",Railway,Railway,"[(12, 13)]","[(12, 13)]",0
"The indigenous people of Chichigalpa were of Toltec origin , the Niquiranos and Chorotegas .","The indigenous people of Chichigalpa were of Toltec origin , the Niquiranos and Chorotegas .",Toltec,Toltec,"[(7, 8)]","[(7, 8)]",0
The aircraft was on a domestic flight from Goma to Kisangani via Ndjili .,The aircraft was on a domestic flight from Goma to Kisangani via Ndjili .,from,from,"[(7, 8)]","[(7, 8)]",0
"The awards have often bypassed the great Try scorer , winner - captain or international top player .","The awards have often bypassed the great Try scorer , winner - captain or international top player .",",",",","[(9, 10)]","[(9, 10)]",0
"Internal mass migration also took place when 2 million Americans migrated to Los Angeles , of which 1.2 million settled in California .","Internal mass migration also took place when 2 million Americans migrated to Los Angeles , of which 1.2 million settled in California .",to,to,"[(11, 12)]","[(11, 12)]",0
"The Handbook of the Birds of India and Pakistan is the `` Magnum Opus '' of the Indian ornithologist S. Dillon Ripley , written together with Salim Ali .","The Handbook of the Birds of India and Pakistan is the `` Magnum Opus '' of the Indian ornithologist S. Dillon Ripley , written together with Salim Ali .",'','',"[(14, 15)]","[(14, 15)]",0
"so on the interval to the right , `` f '' is greater than formula _ 61 and if formula _ 62 then :","so on the interval to the right , `` f '' is greater than formula _ 61 and if formula _ 62 then :",greater,greater,"[(12, 13)]","[(12, 13)]",0
The Moai statues of Chile ( Easter Island ) appear in several `` gradius '' plays as enemies .,The Moai statues of Chile ( Easter Island ) appear in several `` gradius '' plays as enemies .,appear,appear,"[(9, 10)]","[(9, 10)]",0
Younger brother of Petri Walli was Hasse Walli of Kingston Wall .,Younger brother of Petri Walli was Hasse Walli of Kingston Wall .,Hasse,Hasse,"[(6, 7)]","[(6, 7)]",0
This method requires manual arrangement and is not statistically pure since arbitrary adjustments can be made .,This method requires manual arrangement and is not statistically pure since arbitrary adjustments can be made .,statistically,statistically,"[(8, 9)]","[(8, 9)]",0
"From 1898 to 1902 , some 1300 birds were imported from America and released in many parts of the North and South Islands , from Northland to Southland .","From 1898 to 1902 , some 1300 birds were imported from America and released in many parts of the North and South Islands , from Northland to Southland .",in,in,"[(14, 15)]","[(14, 15)]",0
"While prostitution in Canada is illegal , most activities relating to prostitution are legal .","While prostitution in Canada is illegal , most activities relating to prostitution are legal .",most,most,"[(7, 8)]","[(7, 8)]",0
"For scalar spectral fluctuations , formula _ 9 is referred to as the scalar index , with formula _ 10 corresponding to scale invariant fluctuations .","For scalar spectral fluctuations , formula _ 9 is referred to as the scalar index , with formula _ 10 corresponding to scale invariant fluctuations .",scalar,scalar,"[(13, 14)]","[(13, 14)]",0
"In 2009 , he joined San Diego Sockers of the Professional Arena Soccer League .","In 2009 , he joined San Diego Sockers of the Professional Arena Soccer League .",Sockers,Sockers,"[(7, 8)]","[(7, 8)]",0
"She finds new hope and friendship in Enzo , the replacement guitarist who inspires her to reach new creative heights .","She finds new hope and friendship in Enzo , the replacement guitarist who inspires her to reach new creative heights .",replacement,replacement,"[(10, 11)]","[(10, 11)]",0
"Creswell is served by the daily Roanoke Beacon newspaper from Plymouth , NC , and the weekly Washington Daily News from Washington , NC .","Creswell is served by the daily Roanoke Beacon newspaper from Plymouth , NC , and the weekly Washington Daily News from Washington , NC .",NC,NC,"[(12, 13)]","[(12, 13)]",0
"He bought homes in Mar del Plata , a castle in Buenos Aires and a small hotel in Córdoba .","He bought homes in Mar del Plata , a castle in Buenos Aires and a small hotel in Córdoba .",in,in,"[(10, 11)]","[(10, 11)]",0
"Arriving Philadelphia 16 October , `` Jarvis '' entered 24 October and decommissioned the Atlantic Reserve Fleet .","Arriving Philadelphia 16 October , `` Jarvis '' entered 24 October and decommissioned the Atlantic Reserve Fleet .",24,24,"[(9, 10)]","[(9, 10)]",0
"The GPO vehicles were special order vehicles , and not quite the same as the commercial Morris Minor LCVs .","The GPO vehicles were special order vehicles , and not quite the same as the commercial Morris Minor LCVs .",quite,quite,"[(10, 11)]","[(10, 11)]",0
"This night , Emperor Muzong died , and Li Zhan took the throne ( as Emperor Jingzong ) .","This night , Emperor Muzong died , and Li Zhan took the throne ( as Emperor Jingzong ) .",Zhan,Zhan,"[(9, 10)]","[(9, 10)]",0
"Dean Mero died in 2014 and the Company is now headed-up by his son , Barry Mero .","Dean Mero died in 2014 and the Company is now headed-up by his son , Barry Mero .",now,now,"[(9, 10)]","[(9, 10)]",0
"Almost the entire range is part of the Sandia Mountain Wilderness area , including the Cibola National Forest .","Almost the entire range is part of the Sandia Mountain Wilderness area , including the Cibola National Forest .",Mountain,Mountain,"[(9, 10)]","[(9, 10)]",0
"In the same year , he was appointed General Vicar for the region of Quebec of the Diocese of Mississippi and Illinois .","In the same year , he was appointed General Vicar for the region of Quebec of the Diocese of Mississippi and Illinois .",the,the,"[(11, 12)]","[(11, 12)]",0
`` Town Without Pity '' is a song written by the composer Dimitri Tiomkin and the lyricist Ned Washington .,`` Town Without Pity '' is a song written by the composer Dimitri Tiomkin and the lyricist Ned Washington .,the,the,"[(10, 11)]","[(10, 11)]",0
"Basque players , playing for either the Spanish or the French teams , dominate international competitions .","Basque players , playing for either the Spanish or the French teams , dominate international competitions .",or,or,"[(8, 9)]","[(8, 9)]",0
The park is 65 km west of Fianarantsoa and 139 km northeast of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .,The park is 65 km west of Fianarantsoa and 139 km northeast of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .,northeast,northeast,"[(11, 12)]","[(11, 12)]",0
He was the only Australian and the only architect within the group .,He was the only Australian and the only architect within the group .,the,the,"[(6, 7)]","[(6, 7)]",0
Another Dutch silversmith who worked in an auricular style was Thomas Bogaert .,Another Dutch silversmith who worked in an auricular style was Thomas Bogaert .,an,an,"[(6, 7)]","[(6, 7)]",0
"After serving in various headquarters and troops , in 1951 General Major , Lieutenant in 1955 and was promoted to the rank of General in 1959 .","After serving in various headquarters and troops , in 1951 General Major , Lieutenant in 1955 and was promoted to the rank of General in 1959 .",Lieutenant,Lieutenant,"[(13, 14)]","[(13, 14)]",0
The team is coached by Tristan Gray ( former coach of Premiership side RHC Cougars ) and is currently captained by Emily Cotterill .,The team is coached by Tristan Gray ( former coach of Premiership side RHC Cougars ) and is currently captained by Emily Cotterill .,side,side,"[(12, 13)]","[(12, 13)]",0
Match 1 : Naoki Sano defeats Masahito Kakihara ( leg submission ),Match 1 : Naoki Sano defeats Masahito Kakihara ( leg submission ),Masahito,Masahito,"[(6, 7)]","[(6, 7)]",0
He later joined Outfit United SC in Kolkata and played in the Calcutta Football League .,He later joined Outfit United SC in Kolkata and played in the Calcutta Football League .,and,and,"[(8, 9)]","[(8, 9)]",0
"In the first film the Fat Lady is played by Elizabeth Spriggs , and by Dawn French in the third film .","In the first film the Fat Lady is played by Elizabeth Spriggs , and by Dawn French in the third film .",Spriggs,Spriggs,"[(11, 12)]","[(11, 12)]",0
"Based on the city of Baltimore , only mentioned , has never visited in the show .","Based on the city of Baltimore , only mentioned , has never visited in the show .",mentioned,mentioned,"[(8, 9)]","[(8, 9)]",0
The expansion of China Airlines ' political presence has long been limited by Taiwan 's international status .,The expansion of China Airlines ' political presence has long been limited by Taiwan 's international status .,long,long,"[(9, 10)]","[(9, 10)]",0
"Brighton Beach Railway Station is located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburbs of Brighton .","Brighton Beach Railway Station is located on the Sandringham line in Victoria , Australia , and serves the south-eastern Melbourne suburbs of Brighton .",",",",","[(12, 13)]","[(12, 13)]",0
"In 1942 , `` Whitehall '' was adopted by the civil community of Cheltenham , Gloucestershire , in a national savings campaign of the warship - week `` .","In 1942 , `` Whitehall '' was adopted by the civil community of Cheltenham , Gloucestershire , in a national savings campaign of the warship - week `` .",",",",","[(14, 15)]","[(14, 15)]",0
"After May 4 , 2012 , Gordon M. Snow was replaced with a limited formal announcement by Michael S. Welch and then Joseph M. Demarest .","After May 4 , 2012 , Gordon M. Snow was replaced with a limited formal announcement by Michael S. Welch and then Joseph M. Demarest .",limited,limited,"[(13, 14)]","[(13, 14)]",0
"Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston included in the project .","Tracey Emin , Angus Fairhurst , Billy Childish , Jake Chapman , Billy Childish and Joshua Compston included in the project .",",",",","[(11, 12)]","[(11, 12)]",0
Abraham Naftali Hertz Scheuer was born in Frankfurt am Main in 1753 to his father Rabbi David Tebele Scheuer .,Abraham Naftali Hertz Scheuer was born in Frankfurt am Main in 1753 to his father Rabbi David Tebele Scheuer .,in,in,"[(10, 11)]","[(10, 11)]",0
"His son , Ii Naomasa , was adopted by Naotora and , under Tokugawa Ieyasu , became a dreaded general , who is considered one of his four guardians .","His son , Ii Naomasa , was adopted by Naotora and , under Tokugawa Ieyasu , became a dreaded general , who is considered one of his four guardians .",",",",","[(15, 16)]","[(15, 16)]",0
Capitán Jorge Osvaldo García successfully recovered but was not ejected .,Capitán Jorge Osvaldo García successfully recovered but was not ejected .,recovered,recovered,"[(5, 6)]","[(5, 6)]",0
"That same year , technologyreview.com won second place in the MPA Digital Awards for best business or news Website and third place for best online video or video series .","That same year , technologyreview.com won second place in the MPA Digital Awards for best business or news Website and third place for best online video or video series .",business,business,"[(15, 16)]","[(15, 16)]",0
"The event was played on outdoor grass courts and held from September 27 through October 5 , 1887 at the Philadelphia Cricket Club in Wissahickon , Philadelphia .","The event was played on outdoor grass courts and held from September 27 through October 5 , 1887 at the Philadelphia Cricket Club in Wissahickon , Philadelphia .",October,October,"[(14, 15)]","[(14, 15)]",0
"According to the Indian Census 2011 , the population of Samdari is 25012 , where male population is 12805 and female population is 12207 .","According to the Indian Census 2011 , the population of Samdari is 25012 , where male population is 12805 and female population is 12207 .",25012,25012,"[(12, 13)]","[(12, 13)]",0
"Mendota is a former settlement in Fresno County , California . It was located north of Warsaw near the site of Pueblo de las Juntas .","Mendota is a former settlement in Fresno County , California . It was located north of Warsaw near the site of Pueblo de las Juntas .",located,located,"[(13, 14)]","[(13, 14)]",0
Sometimes already assigned codes were reused or the x00 codes assigned previously were spared .,Sometimes already assigned codes were reused or the x00 codes assigned previously were spared .,the,the,"[(7, 8)]","[(7, 8)]",0
Asserson was active in the church in Norway and was married to Eivind Saxlund .,Asserson was active in the church in Norway and was married to Eivind Saxlund .,Norway,Norway,"[(7, 8)]","[(7, 8)]",0
The Lotriorul River is a tributary of the River Priporul in Romania .,The Lotriorul River is a tributary of the River Priporul in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
Now Shiva Manivasagam and his men must face to win the love between him and Bharati .,Now Shiva Manivasagam and his men must face to win the love between him and Bharati .,to,to,"[(8, 9)]","[(8, 9)]",0
This is caused by a combination of adiabatic ( friction ) heating and kinetic compression .,This is caused by a combination of adiabatic ( friction ) heating and kinetic compression .,(,(,"[(8, 9)]","[(8, 9)]",0
The 2015 -- 16 Barangay Ginebra San Miguel season is the 37th season of the franchise in the Philippine Basketball Association ( PBA ) .,The 2015 -- 16 Barangay Ginebra San Miguel season is the 37th season of the franchise in the Philippine Basketball Association ( PBA ) .,season,season,"[(12, 13)]","[(12, 13)]",0
"Small mammals , including bats , are sometimes eaten but insects are caught only very rarely .","Small mammals , including bats , are sometimes eaten but insects are caught only very rarely .",eaten,eaten,"[(8, 9)]","[(8, 9)]",0
The river Cârlibaba is a tributary of the River Tătarca in Romania .,The river Cârlibaba is a tributary of the River Tătarca in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
"They appeared at the City Winery in Chicago on November 30 , 2012 , and on December 1 , 2012 , in the Beachland Ballroom in Cleveland .","They appeared at the City Winery in Chicago on November 30 , 2012 , and on December 1 , 2012 , in the Beachland Ballroom in Cleveland .",and,and,"[(14, 15)]","[(14, 15)]",0
"Mahoning Creek is a tributary of the Lehigh River in the Schuylkill and Carbon - County , Pennsylvania , in the United States .","Mahoning Creek is a tributary of the Lehigh River in the Schuylkill and Carbon - County , Pennsylvania , in the United States .",and,and,"[(12, 13)]","[(12, 13)]",0
"Lukaszuk has two daughters , one with his current wife , news anchor Stacey Brotzel CTV Edmonton and one with his previous wife .","Lukaszuk has two daughters , one with his current wife , news anchor Stacey Brotzel CTV Edmonton and one with his previous wife .",anchor,anchor,"[(12, 13)]","[(12, 13)]",0
"A historical figure is a famous person in history , such as Katharina the Great , Napoleon , Washington , or Abraham Lincoln .","A historical figure is a famous person in history , such as Katharina the Great , Napoleon , Washington , or Abraham Lincoln .",Katharina,Katharina,"[(12, 13)]","[(12, 13)]",0
"This species is present in Switzerland , in France and in Italy .","This species is present in Switzerland , in France and in Italy .",",",",","[(6, 7)]","[(6, 7)]",0
The last three were on CBS and the first was in the Blue Network .,The last three were on CBS and the first was in the Blue Network .,the,the,"[(7, 8)]","[(7, 8)]",0
"In 1941 , Armand L. Jeanne married Ruth Stuber .","In 1941 , Armand L. Jeanne married Ruth Stuber .",Jeanne,Jeanne,"[(5, 6)]","[(5, 6)]",0
"In the 2015 documentary film `` The Gettysburg Address '' , Edward Everett is portrayed by actor Ed Asner .","In the 2015 documentary film `` The Gettysburg Address '' , Edward Everett is portrayed by actor Ed Asner .",",",",","[(10, 11)]","[(10, 11)]",0
The singer debuted at the Metropolitan Opera in 1993 as Hans Foltz in `` Die Meistersinger von Nürnberg '' by Richard Wagner .,The singer debuted at the Metropolitan Opera in 1993 as Hans Foltz in `` Die Meistersinger von Nürnberg '' by Richard Wagner .,Foltz,Foltz,"[(11, 12)]","[(11, 12)]",0
"The scenes in the marshes were also shot in Gillingham , Kent 's Riverside Country Park .","The scenes in the marshes were also shot in Gillingham , Kent 's Riverside Country Park .",in,in,"[(8, 9)]","[(8, 9)]",0
"Miles started playing football for the Vikings , a Pop Warner football team that L.V . coached .","Miles started playing football for the Vikings , a Pop Warner football team that L.V . coached .",Pop,Pop,"[(9, 10)]","[(9, 10)]",0
The Marseille Provence Airport is located in Marignane .,The Marseille Provence Airport is located in Marignane .,is,is,"[(4, 5)]","[(4, 5)]",0
Mohsin Zaidi lived in Lucknow for nearly four decades before settling down in Delhi after retirement .,Mohsin Zaidi lived in Lucknow for nearly four decades before settling down in Delhi after retirement .,decades,decades,"[(8, 9)]","[(8, 9)]",0
The Dunăreana River is a tributary of the Galbena River in Romania .,The Dunăreana River is a tributary of the Galbena River in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
"With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .","With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .",exports,exports,"[(11, 12)]","[(11, 12)]",0
"It was first described by William Walter Smith in 1889 , using samples from George Hudson .","It was first described by William Walter Smith in 1889 , using samples from George Hudson .",in,in,"[(8, 9)]","[(8, 9)]",0
"A multi-region - DVD of the entire series was published by Warner Archive on 4 February 2015 and announced on February 10 , 2015 .","A multi-region - DVD of the entire series was published by Warner Archive on 4 February 2015 and announced on February 10 , 2015 .",Archive,Archive,"[(12, 13)]","[(12, 13)]",0
Other studies have also been submitted to the Federal Power Commission by the Congress and the Power Authority of New York .,Other studies have also been submitted to the Federal Power Commission by the Congress and the Power Authority of New York .,by,by,"[(11, 12)]","[(11, 12)]",0
The river Scridoasa is a tributary of the River Botizu in Romania .,The river Scridoasa is a tributary of the River Botizu in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
The Irish Aviation Authority has constructed a new control tower 1 km from the main terminal to the west of the old runway .,The Irish Aviation Authority has constructed a new control tower 1 km from the main terminal to the west of the old runway .,from,from,"[(12, 13)]","[(12, 13)]",0
"With the restoration of the monarchy and the final departure of Napoleon in 1815 , the military scene in Vietnam quieted and French interest in Europe was revived .","With the restoration of the monarchy and the final departure of Napoleon in 1815 , the military scene in Vietnam quieted and French interest in Europe was revived .",",",",","[(14, 15)]","[(14, 15)]",0
